coin,period,label,sl,sl_val,bh,ret,n,win,dd,liq,beat
ETH,bull_2024h2,불장(24H2),-25%,0.25,-2.92,74.13,8,0.5,6.67,False,1
ETH,bull_2024h2,불장(24H2),-30%,0.3,-2.92,74.13,8,0.5,6.67,False,1
ETH,bear_2025q1,하락(25Q1),없음,999.0,-45.4,-28.79,6,0.0,22.73,False,1
ETH,bear_2025q1,하락(25Q1),-10%,0.1,-45.4,-28.79,6,0.0,22.73,False,1
ETH,bear_2025q1,하락(25Q1),-15%,0.15,-45.4,-28.79,6,0.0,22.73,False,1
ETH,bear_2025q1,하락(25Q1),-20%,0.2,-45.4,-28.79,6,0.0,22.73,False,1
ETH,bear_2025q1,하락(25Q1),-25%,0.25,-45.4,-28.79,6,0.0,22.73,False,1
ETH,bear_2025q1,하락(25Q1),-30%,0.3,-45.4,-28.79,6,0.0,22.73,False,1
ETH,bull_2025q2,반등(25Q2),없음,999.0,38.72,76.08,5,0.2,6.6,False,1
ETH,bull_2025q2,반등(25Q2),-10%,0.1,38.72,76.08,5,0.2,6.6,False,1
ETH,bull_2025q2,반등(25Q2),-15%,0.15,38.72,76.08,5,0.2,6.6,False,1
ETH,bull_2025q2,반등(25Q2),-20%,0.2,38.72,76.08,5,0.2,6.6,False,1
ETH,bull_2025q2,반등(25Q2),-25%,0.25,38.72,76.08,5,0.2,6.6,False,1
ETH,bull_2025q2,반등(25Q2),-30%,0.3,38.72,76.08,5,0.2,6.6,False,1
ETH,bull_2025q3,상승(25Q3),없음,999.0,82.14,147.86,9,0.222,15.36,False,1
ETH,bull_2025q3,상승(25Q3),-10%,0.1,82.14,147.86,9,0.222,15.36,False,1
ETH,bull_2025q3,상승(25Q3),-15%,0.15,82.14,147.86,9,0.222,15.36,False,1
ETH,bull_2025q3,상승(25Q3),-20%,0.2,82.14,147.86,9,0.222,15.36,False,1
ETH,bull_2025q3,상승(25Q3),-25%,0.25,82.14,147.86,9,0.222,15.36,False,1
ETH,bull_2025q3,상승(25Q3),-30%,0.3,82.14,147.86,9,0.222,15.36,False,1
ETH,bear_2025q4,하락(25Q4),없음,999.0,-35.04,-20.1,5,0.2,5.99,False,1
ETH,bear_2025q4,하락(25Q4),-10%,0.1,-35.04,-25.74,5,0.2,5.99,False,1
ETH,bear_2025q4,하락(25Q4),-15%,0.15,-35.04,-20.1,5,0.2,5.99,False,1
ETH,bear_2025q4,하락(25Q4),-20%,0.2,-35.04,-20.1,5,0.2,5.99,False,1
ETH,bear_2025q4,하락(25Q4),-25%,0.25,-35.04,-20.1,5,0.2,5.99,False,1
ETH,bear_2025q4,하락(25Q4),-30%,0.3,-35.04,-20.1,5,0.2,5.99,False,1
ETH,bear_2026q1,하락(26Q1),없음,999.0,-34.32,-15.24,5,0.2,18.31,False,1
ETH,bear_2026q1,하락(26Q1),-10%,0.1,-34.32,-15.24,5,0.2,18.31,False,1
ETH,bear_2026q1,하락(26Q1),-15%,0.15,-34.32,-15.24,5,0.2,18.31,False,1
ETH,bear_2026q1,하락(26Q1),-20%,0.2,-34.32,-15.24,5,0.2,18.31,False,1
ETH,bear_2026q1,하락(26Q1),-25%,0.25,-34.32,-15.24,5,0.2,18.31,False,1
ETH,bear_2026q1,하락(26Q1),-30%,0.3,-34.32,-15.24,5,0.2,18.31,False,1
XRP,bear_2018,하락(2018),없음,999.0,-30.3,-21.78,10,0.1,45.87,False,1
XRP,bear_2018,하락(2018),-10%,0.1,-30.3,-40.97,14,0.214,73.53,False,0
XRP,bear_2018,하락(2018),-15%,0.15,-30.3,-36.08,10,0.1,52.38,False,0
XRP,bear_2018,하락(2018),-20%,0.2,-30.3,-38.29,10,0.1,62.38,False,0
XRP,bear_2018,하락(2018),-25%,0.25,-30.3,-21.78,10,0.1,45.87,False,1
XRP,bear_2018,하락(2018),-30%,0.3,-30.3,-21.78,10,0.1,45.87,False,1
XRP,range_2019,횡보(2019),없음,999.0,-44.66,-28.23,13,0.231,57.05,False,1
XRP,range_2019,횡보(2019),-10%,0.1,-44.66,-26.86,13,0.231,54.44,False,1
XRP,range_2019,횡보(2019),-15%,0.15,-44.66,-33.78,13,0.231,62.6,False,1
XRP,range_2019,횡보(2019),-20%,0.2,-44.66,-43.78,13,0.231,72.6,False,1
XRP,range_2019,횡보(2019),-25%,0.25,-44.66,-28.23,13,0.231,57.05,False,1
XRP,range_2019,횡보(2019),-30%,0.3,-44.66,-28.23,13,0.231,57.05,False,1
XRP,bull_2020,상승(2020),없음,999.0,13.87,278.04,13,0.462,37.26,False,1
XRP,bull_2020,상승(2020),-10%,0.1,13.87,245.18,16,0.375,60.6,False,1
XRP,bull_2020,상승(2020),-15%,0.15,13.87,268.86,14,0.429,46.44,False,1
XRP,bull_2020,상승(2020),-20%,0.2,13.87,275.1,13,0.462,40.2,False,1
XRP,bull_2020,상승(2020),-25%,0.25,13.87,278.04,13,0.462,37.26,False,1
XRP,bull_2020,상승(2020),-30%,0.3,13.87,278.04,13,0.462,37.26,False,1
XRP,bull_2021,상승(2021),없음,999.0,277.94,253.99,12,0.333,97.9,False,0
XRP,bull_2021,상승(2021),-10%,0.1,277.94,176.84,20,0.2,147.05,False,0
XRP,bull_2021,상승(2021),-15%,0.15,277.94,207.6,15,0.333,133.54,False,0
XRP,bull_2021,상승(2021),-20%,0.2,277.94,234.41,14,0.357,106.98,False,0
XRP,bull_2021,상승(2021),-25%,0.25,277.94,234.91,13,0.308,116.98,False,0
XRP,bull_2021,상승(2021),-30%,0.3,277.94,236.58,13,0.308,115.31,False,0
XRP,bear_2022,하락(2022),없음,999.0,-59.16,-47.25,13,0.231,78.02,False,1
XRP,bear_2022,하락(2022),-10%,0.1,-59.16,-50.96,15,0.2,83.2,False,1
XRP,bear_2022,하락(2022),-15%,0.15,-59.16,-47.25,13,0.231,78.02,False,1
XRP,bear_2022,하락(2022),-20%,0.2,-59.16,-47.25,13,0.231,78.02,False,1
XRP,bear_2022,하락(2022),-25%,0.25,-59.16,-47.25,13,0.231,78.02,False,1
XRP,bear_2022,하락(2022),-30%,0.3,-59.16,-47.25,13,0.231,78.02,False,1
XRP,bull_2023,회복(2023),없음,999.0,81.65,100.89,13,0.385,25.09,False,1
XRP,bull_2023,회복(2023),-10%,0.1,81.65,100.89,13,0.385,25.09,False,1
XRP,bull_2023,회복(2023),-15%,0.15,81.65,100.89,13,0.385,25.09,False,1
XRP,bull_2023,회복(2023),-20%,0.2,81.65,100.89,13,0.385,25.09,False,1
XRP,bull_2023,회복(2023),-25%,0.25,81.65,100.89,13,0.385,25.09,False,1
XRP,bull_2023,회복(2023),-30%,0.3,81.65,100.89,13,0.385,25.09,False,1
XRP,range_2024h1,횡보(24H1),없음,999.0,-22.65,-63.24,11,0.182,70.62,False,0
XRP,range_2024h1,횡보(24H1),-10%,0.1,-22.65,-63.1,11,0.182,68.67,False,0
XRP,range_2024h1,횡보(24H1),-15%,0.15,-22.65,-76.78,11,0.182,72.35,False,0
XRP,range_2024h1,횡보(24H1),-20%,0.2,-22.65,-85.05,11,0.182,70.62,False,0
XRP,range_2024h1,횡보(24H1),-25%,0.25,-22.65,-63.24,11,0.182,70.62,False,0
XRP,range_2024h1,횡보(24H1),-30%,0.3,-22.65,-63.24,11,0.182,70.62,False,0
XRP,bull_2024h2,불장(24H2),없음,999.0,337.64,578.08,5,0.4,43.43,False,1
XRP,bull_2024h2,불장(24H2),-10%,0.1,337.64,577.8,6,0.5,43.71,False,1
XRP,bull_2024h2,불장(24H2),-15%,0.15,337.64,578.08,5,0.4,43.43,False,1
XRP,bull_2024h2,불장(24H2),-20%,0.2,337.64,578.08,5,0.4,43.43,False,1
XRP,bull_2024h2,불장(24H2),-25%,0.25,337.64,578.08,5,0.4,43.43,False,1
XRP,bull_2024h2,불장(24H2),-30%,0.3,337.64,578.08,5,0.4,43.43,False,1
XRP,bear_2025q1,하락(25Q1),없음,999.0,0.3,-49.57,7,0.143,89.02,False,0
XRP,bear_2025q1,하락(25Q1),-10%,0.1,0.3,-53.64,9,0.222,93.09,False,0
XRP,bear_2025q1,하락(25Q1),-15%,0.15,0.3,-54.01,7,0.143,93.45,False,0
XRP,bear_2025q1,하락(25Q1),-20%,0.2,0.3,-49.57,7,0.143,89.02,False,0
XRP,bear_2025q1,하락(25Q1),-25%,0.25,0.3,-49.57,7,0.143,89.02,False,0
XRP,bear_2025q1,하락(25Q1),-30%,0.3,0.3,-49.57,7,0.143,89.02,False,0
XRP,bull_2025q2,반등(25Q2),없음,999.0,4.01,-7.32,3,0.0,1.0,False,0
XRP,bull_2025q2,반등(25Q2),-10%,0.1,4.01,-7.32,3,0.0,1.0,False,0
XRP,bull_2025q2,반등(25Q2),-15%,0.15,4.01,-7.32,3,0.0,1.0,False,0
XRP,bull_2025q2,반등(25Q2),-20%,0.2,4.01,-7.32,3,0.0,1.0,False,0
XRP,bull_2025q2,반등(25Q2),-25%,0.25,4.01,-7.32,3,0.0,1.0,False,0
XRP,bull_2025q2,반등(25Q2),-30%,0.3,4.01,-7.32,3,0.0,1.0,False,0
XRP,bull_2025q3,상승(25Q3),없음,999.0,39.28,45.64,4,0.5,16.41,False,1
XRP,bull_2025q3,상승(25Q3),-10%,0.1,39.28,39.04,5,0.6,20.2,False,0
XRP,bull_2025q3,상승(25Q3),-15%,0.15,39.28,45.64,4,0.5,16.41,False,1
XRP,bull_2025q3,상승(25Q3),-20%,0.2,39.28,45.64,4,0.5,16.41,False,1
XRP,bull_2025q3,상승(25Q3),-25%,0.25,39.28,45.64,4,0.5,16.41,False,1
XRP,bull_2025q3,상승(25Q3),-30%,0.3,39.28,45.64,4,0.5,16.41,False,1
XRP,bear_2025q4,하락(25Q4),없음,999.0,-28.83,-67.54,8,0.0,57.76,False,0
XRP,bear_2025q4,하락(25Q4),-10%,0.1,-28.83,-77.7,9,0.111,57.5,False,0
XRP,bear_2025q4,하락(25Q4),-15%,0.15,-28.83,-67.54,8,0.0,57.76,False,0
XRP,bear_2025q4,하락(25Q4),-20%,0.2,-28.83,-67.54,8,0.0,57.76,False,0
XRP,bear_2025q4,하락(25Q4),-25%,0.25,-28.83,-67.54,8,0.0,57.76,False,0
XRP,bear_2025q4,하락(25Q4),-30%,0.3,-28.83,-67.54,8,0.0,57.76,False,0
XRP,bear_2026q1,하락(26Q1),없음,999.0,-36.14,1.12,1,1.0,0.0,False,1
XRP,bear_2026q1,하락(26Q1),-10%,0.1,-36.14,1.12,1,1.0,0.0,False,1
XRP,bear_2026q1,하락(26Q1),-15%,0.15,-36.14,1.12,1,1.0,0.0,False,1
XRP,bear_2026q1,하락(26Q1),-20%,0.2,-36.14,1.12,1,1.0,0.0,False,1
XRP,bear_2026q1,하락(26Q1),-25%,0.25,-36.14,1.12,1,1.0,0.0,False,1
XRP,bear_2026q1,하락(26Q1),-30%,0.3,-36.14,1.12,1,1.0,0.0,False,1
