coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,ema10/30,2,L,range_2019,94.4,71.86,False,158,0.209,95.03
BTC,1h,ema10/30,2,L+S,range_2019,94.4,-41.76,False,317,0.202,126.56
BTC,1h,ema10/30,3,L,range_2019,94.4,107.79,True,158,0.209,142.55
BTC,1h,ema10/30,3,L+S,range_2019,94.4,-62.64,False,317,0.202,189.84
BTC,1h,ema20/50,1,L,range_2019,94.4,83.55,False,72,0.264,19.88
BTC,1h,ema20/50,1,L+S,range_2019,94.4,75.7,False,145,0.255,29.86
BTC,1h,ema20/50,2,L,range_2019,94.4,167.11,True,72,0.264,39.75
BTC,1h,ema20/50,2,L+S,range_2019,94.4,151.4,True,145,0.255,59.72
BTC,1h,ema20/50,3,L,range_2019,94.4,250.66,True,72,0.264,59.63
BTC,1h,ema20/50,3,L+S,range_2019,94.4,227.1,True,145,0.255,89.58
BTC,1h,ema20/100,1,L,range_2019,94.4,64.27,False,58,0.241,30.96
BTC,1h,ema20/100,1,L+S,range_2019,94.4,37.8,False,117,0.231,29.33
BTC,1h,ema20/100,2,L,range_2019,94.4,128.53,True,58,0.241,61.91
BTC,1h,ema20/100,2,L+S,range_2019,94.4,75.6,False,117,0.231,58.66
BTC,1h,ema20/100,3,L,range_2019,94.4,192.8,True,58,0.241,92.87
BTC,1h,ema20/100,3,L+S,range_2019,94.4,113.41,True,117,0.231,87.99
BTC,1h,ema50/200,1,L,range_2019,94.4,70.53,False,19,0.368,38.61
BTC,1h,ema50/200,1,L+S,range_2019,94.4,48.52,False,39,0.308,49.18
BTC,1h,ema50/200,2,L,range_2019,94.4,141.05,True,19,0.368,77.22
BTC,1h,ema50/200,2,L+S,range_2019,94.4,97.04,True,39,0.308,98.36
BTC,1h,ema50/200,3,L,range_2019,94.4,211.58,True,19,0.368,115.83
BTC,1h,ema50/200,3,L+S,range_2019,94.4,145.57,True,39,0.308,147.54
BTC,1h,ema5/20,1,L,range_2019,94.4,19.75,False,279,0.186,35.01
BTC,1h,ema5/20,1,L+S,range_2019,94.4,-49.18,False,559,0.186,71.31
BTC,1h,ema5/20,2,L,range_2019,94.4,39.5,False,279,0.186,70.02
BTC,1h,ema5/20,2,L+S,range_2019,94.4,-98.37,False,559,0.186,142.63
BTC,1h,ema5/20,3,L,range_2019,94.4,59.25,False,279,0.186,105.03
BTC,1h,ema5/20,3,L+S,range_2019,94.4,-147.55,False,559,0.186,213.94
BTC,1h,ema10/50,1,L,range_2019,94.4,77.63,False,109,0.239,25.84
BTC,1h,ema10/50,1,L+S,range_2019,94.4,63.6,False,219,0.233,34.9
BTC,1h,ema10/50,2,L,range_2019,94.4,155.27,True,109,0.239,51.68
BTC,1h,ema10/50,2,L+S,range_2019,94.4,127.19,True,219,0.233,69.81
BTC,1h,ema10/50,3,L,range_2019,94.4,232.9,True,109,0.239,77.52
BTC,1h,ema10/50,3,L+S,range_2019,94.4,190.79,True,219,0.233,104.71
BTC,1h,c>ema50,1,L,range_2019,94.4,27.96,False,357,0.146,36.6
BTC,1h,c>ema50,1,L+S,range_2019,94.4,-33.78,False,715,0.143,76.91
BTC,1h,c>ema50,2,L,range_2019,94.4,55.91,False,357,0.146,73.2
BTC,1h,c>ema50,2,L+S,range_2019,94.4,-67.56,False,715,0.143,153.83
BTC,1h,c>ema50,3,L,range_2019,94.4,83.87,False,357,0.146,109.79
BTC,1h,c>ema50,3,L+S,range_2019,94.4,-101.34,False,715,0.143,230.74
BTC,1h,c>ema100,1,L,range_2019,94.4,48.41,False,227,0.123,26.24
BTC,1h,c>ema100,1,L+S,range_2019,94.4,5.35,False,455,0.11,61.28
BTC,1h,c>ema100,2,L,range_2019,94.4,96.82,True,227,0.123,52.48
BTC,1h,c>ema100,2,L+S,range_2019,94.4,10.7,False,455,0.11,122.57
BTC,1h,c>ema100,3,L,range_2019,94.4,145.23,True,227,0.123,78.72
BTC,1h,c>ema100,3,L+S,range_2019,94.4,16.05,False,455,0.11,183.85
BTC,1h,c>ema200,1,L,range_2019,94.4,43.86,False,175,0.109,41.18
BTC,1h,c>ema200,1,L+S,range_2019,94.4,-1.54,False,351,0.103,47.32
BTC,1h,c>ema200,2,L,range_2019,94.4,87.73,False,175,0.109,82.37
BTC,1h,c>ema200,2,L+S,range_2019,94.4,-3.08,False,351,0.103,94.64
BTC,1h,c>ema200,3,L,range_2019,94.4,131.59,True,175,0.109,123.55
BTC,1h,c>ema200,3,L+S,range_2019,94.4,-4.63,False,351,0.103,141.97
BTC,1h,macd12/26,1,L,range_2019,94.4,25.79,False,336,0.286,40.79
BTC,1h,macd12/26,1,L+S,range_2019,94.4,-36.59,False,673,0.296,60.15
BTC,1h,macd12/26,2,L,range_2019,94.4,51.58,False,336,0.286,81.59
BTC,1h,macd12/26,2,L+S,range_2019,94.4,-73.18,False,673,0.296,120.31
BTC,1h,macd12/26,3,L,range_2019,94.4,77.37,False,336,0.286,122.38
BTC,1h,macd12/26,3,L+S,range_2019,94.4,-109.77,False,673,0.296,180.46
BTC,1h,macd26/52,1,L,range_2019,94.4,67.1,False,153,0.32,36.51
BTC,1h,macd26/52,1,L+S,range_2019,94.4,45.7,False,307,0.313,37.58
BTC,1h,macd26/52,2,L,range_2019,94.4,134.2,True,153,0.32,73.02
BTC,1h,macd26/52,2,L+S,range_2019,94.4,91.39,False,307,0.313,75.16
BTC,1h,macd26/52,3,L,range_2019,94.4,201.31,True,153,0.32,109.53
BTC,1h,macd26/52,3,L+S,range_2019,94.4,137.09,True,307,0.313,112.75
BTC,1h,st2.0,1,L,range_2019,94.4,54.85,False,145,0.331,54.7
BTC,1h,st2.0,1,L+S,range_2019,94.4,20.41,False,291,0.313,73.23
BTC,1h,st2.0,2,L,range_2019,94.4,109.69,True,145,0.331,109.4
BTC,1h,st2.0,2,L+S,range_2019,94.4,40.82,False,291,0.313,146.47
BTC,1h,st2.0,3,L,range_2019,94.4,164.54,True,145,0.331,164.1
BTC,1h,st2.0,3,L+S,range_2019,94.4,61.24,False,291,0.313,219.7
BTC,1h,st3.0,1,L,range_2019,94.4,88.67,False,75,0.32,19.6
BTC,1h,st3.0,1,L+S,range_2019,94.4,80.29,False,151,0.318,27.14
BTC,1h,st3.0,2,L,range_2019,94.4,177.34,True,75,0.32,39.2
BTC,1h,st3.0,2,L+S,range_2019,94.4,160.58,True,151,0.318,54.28
BTC,1h,st3.0,3,L,range_2019,94.4,266.01,True,75,0.32,58.8
BTC,1h,st3.0,3,L+S,range_2019,94.4,240.87,True,151,0.318,81.43
BTC,1h,ema10/30,1,L,bull_2020,301.98,112.26,False,148,0.311,24.24
BTC,1h,ema10/30,1,L+S,bull_2020,301.98,61.6,False,296,0.24,37.4
BTC,1h,ema10/30,2,L,bull_2020,301.98,224.51,False,148,0.311,48.48
BTC,1h,ema10/30,2,L+S,bull_2020,301.98,123.19,False,296,0.24,74.8
BTC,1h,ema10/30,3,L,bull_2020,301.98,336.77,True,148,0.311,72.73
BTC,1h,ema10/30,3,L+S,bull_2020,301.98,184.79,False,296,0.24,112.2
BTC,1h,ema20/50,1,L,bull_2020,301.98,123.47,False,71,0.352,16.66
BTC,1h,ema20/50,1,L+S,bull_2020,301.98,79.65,False,142,0.289,22.56
BTC,1h,ema20/50,2,L,bull_2020,301.98,246.94,False,71,0.352,33.33
BTC,1h,ema20/50,2,L+S,bull_2020,301.98,159.3,False,142,0.289,45.12
BTC,1h,ema20/50,3,L,bull_2020,301.98,370.41,True,71,0.352,49.99
BTC,1h,ema20/50,3,L+S,bull_2020,301.98,238.95,False,142,0.289,67.68
BTC,1h,ema20/100,1,L,bull_2020,301.98,138.08,False,48,0.417,16.45
BTC,1h,ema20/100,1,L+S,bull_2020,301.98,109.68,False,96,0.312,27.68
BTC,1h,ema20/100,2,L,bull_2020,301.98,276.16,False,48,0.417,32.9
BTC,1h,ema20/100,2,L+S,bull_2020,301.98,219.36,False,96,0.312,55.35
BTC,1h,ema20/100,3,L,bull_2020,301.98,414.23,True,48,0.417,49.35
