coin,tf,long_filter,short_filter,params,positive,beat_bh,n_periods,avg_ret,min_ret,avg_sharpe,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_tr,recent_3m_long,recent_3m_sht,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_tr,bear_2025q4_long,bear_2025q4_sht,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_tr,bull_2025q3_long,bull_2025q3_sht,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_tr,bull_2024h2_long,bull_2024h2_sht,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_tr,bear_2024h1_long,bear_2024h1_sht,bull_2023_ret,bull_2023_wr,bull_2023_tr,bull_2023_long,bull_2023_sht
ETH,1h,Z+거래량,거래량스파이크,TP3SL1,4,3,6,-1.12,-19.18,-0.024,359,-6.26,25.0,36.0,2.0,34.0,2.94,31.4,35.0,0.0,35.0,3.0,30.0,30.0,2.0,28.0,4.65,29.7,64,4,60,8.12,32.1,56,7,49,-19.18,25.4,138,7,131
BTC,1h,깊은피보,Z+거래량,TP4SL1,4,3,6,1.06,-14.18,-0.054,217,-14.18,21.1,19.0,17.0,2.0,-3.82,31.8,22.0,18.0,4.0,7.68,52.4,21.0,17.0,4.0,7.01,35.6,45,41,4,3.12,41.7,48,43,5,6.53,45.2,62,49,13
BTC,1h,RSI과매도,Z-Score높음,TP5SL2,4,3,6,-2.13,-16.18,-0.06,198,0.1,44.4,18.0,12.0,6.0,7.05,45.0,20.0,12.0,8.0,7.59,59.1,22.0,10.0,12.0,-15.81,27.6,29,18,11,4.45,40.5,37,24,13,-16.18,43.1,72,34,38
BTC,1h,Z-Score낮음,깊은피보,TP4SL1,4,3,6,-2.24,-37.87,-0.066,272,-7.13,26.9,26.0,4.0,22.0,10.59,50.0,18.0,2.0,16.0,14.38,57.9,19.0,6.0,13.0,-37.87,22.4,58,12,46,5.42,39.7,58,18,40,1.14,38.7,93,32,61
ETH,4h,기본,RSI+깊은피보,TP5SL2,4,3,6,2.36,-15.4,-0.073,170,3.5,33.3,15.0,14.0,1.0,-9.94,23.1,13.0,13.0,0.0,-15.4,14.3,14.0,14.0,0.0,20.36,39.5,38,34,4,14.19,44.4,18,18,0,1.47,30.6,72,67,5
ETH,4h,기본,RSI+깊은피보,TP6SL2,4,3,6,3.7,-19.3,-0.093,160,8.5,33.3,15.0,14.0,1.0,-7.94,23.1,13.0,13.0,0.0,-19.3,7.7,13.0,13.0,0.0,24.66,37.1,35,33,2,15.29,41.2,17,17,0,0.97,26.9,67,63,4
BTC,1h,깊은피보,RSI과매수,TP3SL1,4,3,6,0.16,-19.26,-0.111,346,-13.06,20.7,29.0,22.0,7.0,3.68,36.7,30.0,19.0,11.0,8.66,42.4,33.0,19.0,14.0,-19.26,23.6,72,50,22,7.36,35.5,76,49,27,13.56,34.9,106,51,55
ETH,1h,깊은피보,거래량스파이크,TP4SL1,4,3,6,-2.37,-23.13,-0.13,427,2.54,30.2,43.0,16.0,27.0,-20.78,21.7,46.0,22.0,24.0,4.43,34.9,43.0,19.0,24.0,9.31,33.3,81,39,42,13.39,35.3,68,26,42,-23.13,30.1,146,40,106
ETH,1h,Z-Score낮음,거래량스파이크,TP3SL1,4,3,6,-3.56,-39.53,-0.137,399,-3.76,26.8,41.0,7.0,34.0,1.84,30.6,36.0,1.0,35.0,3.43,31.6,38.0,11.0,27.0,11.15,31.9,69,13,56,5.52,30.6,62,13,49,-39.53,22.9,153,28,125
ETH,4h,기본,RSI과매수,TP5SL2,4,3,6,0.85,-15.4,-0.179,171,3.5,33.3,15.0,14.0,1.0,-9.94,23.1,13.0,13.0,0.0,-15.4,14.3,14.0,14.0,0.0,20.36,39.5,38,34,4,5.09,36.8,19,17,2,1.47,30.6,72,67,5
