coin,tf,signal,lev,mode,period,bh_ret,ret,beat_bh,n_trades,win_rate,max_dd
SOL,1h,ema50/200,1,L,bull_2023,920.26,308.61,False,24,0.417,25.23
SOL,1h,ema50/200,1,L+S,bull_2023,920.26,280.39,False,48,0.396,37.02
SOL,1h,ema50/200,2,L,bull_2023,920.26,617.22,False,24,0.417,50.45
SOL,1h,ema50/200,2,L+S,bull_2023,920.26,560.77,False,48,0.396,74.04
SOL,1h,ema50/200,3,L,bull_2023,920.26,925.83,True,24,0.417,75.68
SOL,1h,ema50/200,3,L+S,bull_2023,920.26,841.16,False,48,0.396,111.07
SOL,1h,ema5/20,1,L,bull_2023,920.26,168.08,False,262,0.26,45.31
SOL,1h,ema5/20,1,L+S,bull_2023,920.26,53.53,False,524,0.25,67.69
SOL,1h,ema5/20,2,L,bull_2023,920.26,336.17,False,262,0.26,90.63
SOL,1h,ema5/20,2,L+S,bull_2023,920.26,107.05,False,524,0.25,135.39
SOL,1h,ema5/20,3,L,bull_2023,920.26,504.25,False,262,0.26,135.94
SOL,1h,ema5/20,3,L+S,bull_2023,920.26,160.58,False,524,0.25,203.08
SOL,1h,ema10/50,1,L,bull_2023,920.26,211.43,False,107,0.318,36.32
SOL,1h,ema10/50,1,L+S,bull_2023,920.26,138.09,False,214,0.276,57.94
SOL,1h,ema10/50,2,L,bull_2023,920.26,422.87,False,107,0.318,72.63
SOL,1h,ema10/50,2,L+S,bull_2023,920.26,276.19,False,214,0.276,115.88
SOL,1h,ema10/50,3,L,bull_2023,920.26,634.3,False,107,0.318,108.95
SOL,1h,ema10/50,3,L+S,bull_2023,920.26,414.28,False,214,0.276,173.82
SOL,1h,c>ema50,1,L,bull_2023,920.26,170.28,False,345,0.174,44.65
SOL,1h,c>ema50,1,L+S,bull_2023,920.26,53.73,False,690,0.181,74.33
SOL,1h,c>ema50,2,L,bull_2023,920.26,340.56,False,345,0.174,89.3
SOL,1h,c>ema50,2,L+S,bull_2023,920.26,107.47,False,690,0.181,148.66
SOL,1h,c>ema50,3,L,bull_2023,920.26,510.84,False,345,0.174,133.95
SOL,1h,c>ema50,3,L+S,bull_2023,920.26,161.2,False,690,0.181,222.98
SOL,1h,c>ema100,1,L,bull_2023,920.26,211.8,False,225,0.182,29.23
SOL,1h,c>ema100,1,L+S,bull_2023,920.26,133.14,False,450,0.167,42.24
SOL,1h,c>ema100,2,L,bull_2023,920.26,423.6,False,225,0.182,58.46
SOL,1h,c>ema100,2,L+S,bull_2023,920.26,266.27,False,450,0.167,84.48
SOL,1h,c>ema100,3,L,bull_2023,920.26,635.4,False,225,0.182,87.69
SOL,1h,c>ema100,3,L+S,bull_2023,920.26,399.41,False,450,0.167,126.72
SOL,1h,c>ema200,1,L,bull_2023,920.26,276.51,False,137,0.131,33.23
SOL,1h,c>ema200,1,L+S,bull_2023,920.26,203.75,False,275,0.127,58.42
SOL,1h,c>ema200,2,L,bull_2023,920.26,553.02,False,137,0.131,66.46
SOL,1h,c>ema200,2,L+S,bull_2023,920.26,407.5,False,275,0.127,116.83
SOL,1h,c>ema200,3,L,bull_2023,920.26,829.53,False,137,0.131,99.69
SOL,1h,c>ema200,3,L+S,bull_2023,920.26,611.25,False,275,0.127,175.25
SOL,1h,macd12/26,1,L,bull_2023,920.26,145.06,False,318,0.343,46.47
SOL,1h,macd12/26,1,L+S,bull_2023,920.26,8.35,False,637,0.336,111.07
SOL,1h,macd12/26,2,L,bull_2023,920.26,290.13,False,318,0.343,92.93
SOL,1h,macd12/26,2,L+S,bull_2023,920.26,16.71,False,637,0.336,222.14
SOL,1h,macd12/26,3,L,bull_2023,920.26,435.19,False,318,0.343,139.4
SOL,1h,macd12/26,3,L+S,bull_2023,920.26,25.06,False,637,0.336,333.21
SOL,1h,macd26/52,1,L,bull_2023,920.26,211.21,False,157,0.331,47.43
SOL,1h,macd26/52,1,L+S,bull_2023,920.26,141.61,False,313,0.342,58.69
SOL,1h,macd26/52,2,L,bull_2023,920.26,422.43,False,157,0.331,94.86
SOL,1h,macd26/52,2,L+S,bull_2023,920.26,283.22,False,313,0.342,117.38
SOL,1h,macd26/52,3,L,bull_2023,920.26,633.64,False,157,0.331,142.28
SOL,1h,macd26/52,3,L+S,bull_2023,920.26,424.84,False,313,0.342,176.07
SOL,1h,st2.0,1,L,bull_2023,920.26,127.1,False,170,0.329,48.89
SOL,1h,st2.0,1,L+S,bull_2023,920.26,-30.04,False,340,0.321,113.17
SOL,1h,st2.0,2,L,bull_2023,920.26,254.2,False,170,0.329,97.77
SOL,1h,st2.0,2,L+S,bull_2023,920.26,-60.08,False,340,0.321,226.35
SOL,1h,st2.0,3,L,bull_2023,920.26,381.29,False,170,0.329,146.66
SOL,1h,st2.0,3,L+S,bull_2023,920.26,-90.12,False,340,0.321,339.52
