coin,tf,signal,lev,mode,period,ret,bh_ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,st3.0,2,L,bear_2025q4,-21.32,-23.3,True,21,0.333,39.49
BTC,1h,st3.0,2,L+S,bear_2025q4,1.52,-23.3,True,42,0.357,22.38
BTC,1h,st3.0,3,L,bear_2025q4,-31.97,-23.3,False,21,0.333,59.23
BTC,1h,st3.0,3,L+S,bear_2025q4,2.28,-23.3,True,42,0.357,33.58
BTC,1h,st4.0,1,L,bear_2025q4,-4.21,-23.3,True,12,0.333,13.06
BTC,1h,st4.0,1,L+S,bear_2025q4,13.81,-23.3,True,24,0.458,13.46
BTC,1h,st4.0,2,L,bear_2025q4,-8.43,-23.3,True,12,0.333,26.11
BTC,1h,st4.0,2,L+S,bear_2025q4,27.62,-23.3,True,24,0.458,26.92
BTC,1h,st4.0,3,L,bear_2025q4,-12.64,-23.3,True,12,0.333,39.17
BTC,1h,st4.0,3,L+S,bear_2025q4,41.44,-23.3,True,24,0.458,40.38
BTC,1h,ema20/50,1,L,bull_2025q3,-8.97,6.2,False,28,0.286,17.44
BTC,1h,ema20/50,1,L+S,bull_2025q3,-28.68,6.2,False,56,0.25,31.01
BTC,1h,ema20/50,2,L,bull_2025q3,-17.94,6.2,False,28,0.286,34.88
BTC,1h,ema20/50,2,L+S,bull_2025q3,-57.37,6.2,False,56,0.25,62.02
BTC,1h,ema20/50,3,L,bull_2025q3,-26.91,6.2,False,28,0.286,52.32
BTC,1h,ema20/50,3,L+S,bull_2025q3,-86.05,6.2,False,56,0.25,93.04
BTC,1h,ema50/200,1,L,bull_2025q3,1.55,6.2,False,8,0.375,4.96
BTC,1h,ema50/200,1,L+S,bull_2025q3,-7.63,6.2,False,16,0.25,11.93
BTC,1h,ema50/200,2,L,bull_2025q3,3.09,6.2,False,8,0.375,9.92
BTC,1h,ema50/200,2,L+S,bull_2025q3,-15.26,6.2,False,16,0.25,23.87
BTC,1h,ema50/200,3,L,bull_2025q3,4.64,6.2,False,8,0.375,14.89
BTC,1h,ema50/200,3,L+S,bull_2025q3,-22.88,6.2,False,16,0.25,35.8
BTC,1h,ema10/30,1,L,bull_2025q3,-2.31,6.2,False,46,0.261,13.99
BTC,1h,ema10/30,1,L+S,bull_2025q3,-15.49,6.2,False,91,0.242,22.79
BTC,1h,ema10/30,2,L,bull_2025q3,-4.63,6.2,False,46,0.261,27.99
BTC,1h,ema10/30,2,L+S,bull_2025q3,-30.97,6.2,False,91,0.242,45.59
BTC,1h,ema10/30,3,L,bull_2025q3,-6.94,6.2,False,46,0.261,41.98
