entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold
2025-11-13 06:30:00+00:00,2025-11-13 13:30:00+00:00,short,103434.6,102292.895,102292.895,104131.89106179263,win,3.1914,28
2025-11-14 04:45:00+00:00,2025-11-14 06:15:00+00:00,long,97789.7,96889.97028510316,99074.11,96889.97028510316,loss,-2.8802,6
2025-11-16 10:00:00+00:00,2025-11-16 11:00:00+00:00,short,96479.8,95997.87,95997.87,96830.05893730046,win,1.3785,4
2025-11-17 13:45:00+00:00,2025-11-17 14:30:00+00:00,long,93913.5,95312.21,95312.21,93361.6707943553,win,4.3481,3
2025-11-18 15:30:00+00:00,2025-11-18 16:15:00+00:00,short,92693.6,93539.47364179522,91560.635,93539.47364179522,loss,-2.8576,3
2025-11-19 16:00:00+00:00,2025-11-19 17:00:00+00:00,long,90088.6,89371.31439630943,91308.69,89371.31439630943,loss,-2.5086,4
2025-11-22 23:00:00+00:00,2025-11-23 01:15:00+00:00,short,84992.7,85376.25630874354,84570.05500000001,85376.25630874354,loss,-1.4738,9
2025-11-24 09:30:00+00:00,2025-11-24 14:30:00+00:00,long,85964.2,85357.8968777377,86916.61,85357.8968777377,loss,-2.2359,20
2025-11-28 14:00:00+00:00,2025-11-28 14:15:00+00:00,short,92303.8,92750.35324836223,91571.045,92750.35324836223,loss,-1.5714,1
2025-11-29 16:00:00+00:00,2025-11-29 17:00:00+00:00,short,90964.2,90680.255,90680.255,91178.33345477052,win,0.8165,4
2025-11-30 09:15:00+00:00,2025-11-30 13:15:00+00:00,short,91360.5,91648.36664222229,90925.98500000002,91648.36664222229,loss,-1.0653,16
2025-12-03 02:15:00+00:00,2025-12-03 04:15:00+00:00,short,92761.0,93358.25458432116,91739.95499999999,93358.25458432116,loss,-2.0516,8
2025-12-05 09:45:00+00:00,2025-12-05 13:15:00+00:00,long,91086.4,90712.09271491315,91941.43000000001,90712.09271491315,loss,-1.3528,14
2025-12-12 16:00:00+00:00,2025-12-13 16:00:00+00:00,long,89927.4,90150.0,91850.385,89318.30997598713,timeout,0.6226,96
