entry_dt,exit_dt,side,regime,entry,exit,tp,sl,result,pnl_pct,hold
2025-10-03 14:30:00+00:00,2025-10-03 15:15:00+00:00,long,breakout,120599.9,121249.81703941312,121249.81703941312,120166.62197372458,win,1.4967,3
2025-10-05 09:15:00+00:00,2025-10-05 09:30:00+00:00,long,trend,123979.8,123482.9263575464,124807.92273742268,123482.9263575464,loss,-1.3223,1
2025-10-05 09:30:00+00:00,2025-10-05 16:45:00+00:00,long,trend,122954.9,122368.3637605788,123932.46039903534,122368.3637605788,loss,-1.5511,29
2025-10-09 10:30:00+00:00,2025-10-09 11:15:00+00:00,short,trend,122168.5,122616.34814195693,121422.08643007178,122616.34814195693,loss,-1.2197,3
2025-10-09 14:15:00+00:00,2025-10-09 14:45:00+00:00,long,trend,121621.6,120898.39695200858,122826.93841331906,120898.39695200858,loss,-1.9039,2
2025-10-12 13:45:00+00:00,2025-10-12 14:45:00+00:00,long,trend,111238.1,112108.38867726091,112108.38867726091,110715.92679364346,win,2.2271,4
2025-10-13 03:30:00+00:00,2025-10-13 11:00:00+00:00,long,trend,114811.3,114163.79526134183,115890.47456443029,114163.79526134183,loss,-1.8119,30
2025-10-14 14:00:00+00:00,2025-10-14 15:45:00+00:00,short,trend,111613.6,112411.3299761143,110284.0500398095,112411.3299761143,loss,-2.2642,7
2025-10-20 11:00:00+00:00,2025-10-20 15:00:00+00:00,long,trend,110654.6,111374.77266311902,111374.77266311902,110222.4964021286,win,1.8325,16
2025-10-25 15:00:00+00:00,2025-10-25 16:00:00+00:00,long,trend,111374.0,111141.6639349664,111761.22677505598,111141.6639349664,loss,-0.7458,4
2025-10-27 08:45:00+00:00,2025-10-27 13:30:00+00:00,long,trend,114990.2,114543.45574729907,115734.77375450153,114543.45574729907,loss,-1.2855,19
2025-11-01 21:45:00+00:00,2025-11-02 02:30:00+00:00,long,trend,109815.2,110223.6335864231,110223.6335864231,109570.13984814614,win,0.9958,19
2025-11-02 23:00:00+00:00,2025-11-03 00:45:00+00:00,short,trend,110415.3,109850.64097510286,109850.64097510286,110754.09541493829,win,1.4142,7
2025-11-03 12:15:00+00:00,2025-11-03 15:15:00+00:00,short,trend,108203.9,107267.11334252573,107267.11334252573,108765.97199448456,win,2.4773,12
2025-11-04 14:45:00+00:00,2025-11-04 15:45:00+00:00,short,trend,104458.4,103295.13725838496,103295.13725838496,105156.35764496902,win,3.2208,4
2025-11-07 15:00:00+00:00,2025-11-07 17:15:00+00:00,short,trend,101119.1,101908.64400277335,99803.1933287111,101908.64400277335,loss,-2.4624,9
2025-11-12 15:00:00+00:00,2025-11-12 15:30:00+00:00,long,trend,103684.9,103105.88193661274,104649.93010564541,103105.88193661274,loss,-1.7953,2
2025-11-13 23:15:00+00:00,2025-11-14 00:15:00+00:00,short,trend,100188.9,98843.6153380322,98843.6153380322,100996.07079718067,win,3.9082,4
2025-11-16 02:15:00+00:00,2025-11-16 05:15:00+00:00,short,trend,95626.0,96108.61113546403,94821.64810755994,96108.61113546403,loss,-1.6341,12
2025-11-16 07:45:00+00:00,2025-11-16 09:45:00+00:00,long,breakout,96064.8,96539.41683462381,96539.41683462381,95748.38877691746,win,1.3622,8
2025-11-16 11:15:00+00:00,2025-11-16 13:30:00+00:00,long,trend,95563.6,95171.81499838777,96216.57500268707,95171.81499838777,loss,-1.3499,9
2025-11-18 08:30:00+00:00,2025-11-18 14:30:00+00:00,short,trend,91316.2,92067.49541211546,90064.04097980756,92067.49541211546,loss,-2.5882,24
2025-11-19 23:00:00+00:00,2025-11-20 00:30:00+00:00,short,trend,91293.6,92057.75530672321,90020.007822128,92057.75530672321,loss,-2.6311,6
2025-11-20 06:30:00+00:00,2025-11-20 14:00:00+00:00,long,trend,91800.0,91262.54296902099,92695.76171829835,91262.54296902099,loss,-1.8764,30
2025-11-21 14:30:00+00:00,2025-11-21 15:30:00+00:00,short,trend,84868.0,82869.79665018182,82869.79665018182,86066.92200989091,win,6.9435,4
2025-11-23 07:15:00+00:00,2025-11-23 09:30:00+00:00,long,trend,85488.5,86245.68468867768,86245.68468867768,85034.18918679339,win,2.5371,9
2025-11-23 23:30:00+00:00,2025-11-24 00:00:00+00:00,long,trend,86831.7,86269.28241901976,87769.06263496706,86269.28241901976,loss,-2.0631,2
2025-11-27 12:15:00+00:00,2025-11-27 12:45:00+00:00,long,trend,91237.6,90917.80876620978,91770.58538965038,90917.80876620978,loss,-1.1715,2
2025-11-27 12:45:00+00:00,2025-11-27 13:15:00+00:00,long,trend,90954.6,90624.03587494619,91505.54020842303,90624.03587494619,loss,-1.2103,2
2025-11-28 16:15:00+00:00,2025-11-28 17:15:00+00:00,long,trend,91140.8,90490.86842159888,92224.01929733521,90490.86842159888,loss,-2.2593,4
2025-12-03 08:45:00+00:00,2025-12-03 14:00:00+00:00,long,trend,92740.8,92246.13582476863,93565.24029205229,92246.13582476863,loss,-1.7202,21
2025-12-13 01:30:00+00:00,2025-12-13 03:30:00+00:00,short,breakout,90108.8,90363.79572969292,89726.30640546062,90363.79572969292,loss,-0.969,8
2025-12-15 01:45:00+00:00,2025-12-15 02:15:00+00:00,short,trend,89189.1,89718.56000771781,88306.66665380367,89718.56000771781,loss,-1.9009,2
2025-12-16 06:00:00+00:00,2025-12-16 10:30:00+00:00,short,trend,86185.7,86591.2786292723,85509.73561787949,86591.2786292723,loss,-1.5318,18
2025-12-17 16:00:00+00:00,2025-12-17 18:30:00+00:00,long,trend,86926.6,85903.54096027643,88631.69839953931,85903.54096027643,loss,-3.6508,10
2025-12-21 08:15:00+00:00,2025-12-21 08:30:00+00:00,long,breakout,88233.0,88427.03550123835,88427.03550123835,88103.64299917444,win,0.5397,1
2025-12-21 13:15:00+00:00,2025-12-21 13:30:00+00:00,long,trend,88175.1,87889.60316745692,88650.92805423847,87889.60316745692,loss,-1.0914,1
2025-12-22 15:00:00+00:00,2025-12-22 19:00:00+00:00,long,trend,89560.0,89012.37692241496,90472.70512930842,89012.37692241496,loss,-1.9544,16
2025-12-26 02:00:00+00:00,2025-12-26 02:15:00+00:00,short,trend,88171.7,88558.34717297372,87527.28804504378,88558.34717297372,loss,-1.4355,1
2025-12-26 07:45:00+00:00,2025-12-26 14:45:00+00:00,long,trend,88433.0,88015.39247386863,89129.01254355228,88015.39247386863,loss,-1.5367,28
2025-12-27 15:30:00+00:00,2025-12-27 22:00:00+00:00,short,trend,87551.5,87665.41137078486,87361.64771535856,87665.41137078486,loss,-0.5103,26
2025-12-28 15:45:00+00:00,2025-12-28 18:00:00+00:00,long,trend,87797.7,87655.52614121762,88034.65643130396,87655.52614121762,loss,-0.6058,9
2025-12-30 03:45:00+00:00,2025-12-30 08:00:00+00:00,short,trend,87334.7,87621.56577274248,86856.59037876251,87621.56577274248,loss,-1.1054,17
2026-01-02 14:00:00+00:00,2026-01-02 14:15:00+00:00,long,trend,89105.5,88821.80209978698,89578.32983368837,88821.80209978698,loss,-1.0752,1
2026-01-08 15:15:00+00:00,2026-01-08 17:00:00+00:00,short,trend,90541.1,91069.80272767518,89659.92878720806,91069.80272767518,loss,-1.8718,7
2026-01-12 15:15:00+00:00,2026-01-12 16:00:00+00:00,short,trend,91281.3,91736.13953204952,90523.23411325082,91736.13953204952,loss,-1.6149,3
2026-01-12 16:00:00+00:00,2026-01-12 16:30:00+00:00,short,trend,91741.5,92199.86949778162,90977.55083703062,92199.86949778162,loss,-1.6189,2
2026-01-24 12:00:00+00:00,2026-01-24 13:45:00+00:00,short,breakout,89507.1,89376.95831946957,89376.95831946957,89593.86112035363,win,0.3162,7
