entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold,funding_at_entry
2025-04-14 02:15:00+00:00,2025-04-14 06:00:00+00:00,long,84998.8,84279.98617698089,86436.42764603822,84279.98617698089,loss,-2.657,15,8.113e-05
2025-04-16 12:15:00+00:00,2025-04-16 12:45:00+00:00,long,84136.3,83808.46217362687,84791.97565274627,83808.46217362687,loss,-1.289,2,6.917e-05
2025-04-17 14:45:00+00:00,2025-04-17 15:00:00+00:00,short,84050.0,84395.42427601691,83359.15144796617,84395.42427601691,loss,-1.3529,1,5.679e-05
2025-04-17 15:00:00+00:00,2025-04-17 18:15:00+00:00,long,84561.9,85334.75936974569,85334.75936974569,84175.47031512715,win,2.6219,13,5.679e-05
2025-04-20 20:15:00+00:00,2025-04-20 22:00:00+00:00,long,85086.9,84864.06671986094,85532.5665602781,84864.06671986094,loss,-0.9057,7,-2.258e-05
2025-04-23 15:30:00+00:00,2025-04-23 16:00:00+00:00,short,92550.3,93283.22509344152,91084.44981311697,93283.22509344152,loss,-2.4958,2,1.374e-05
2025-04-24 15:00:00+00:00,2025-04-24 17:15:00+00:00,long,93250.5,92782.55023933515,94186.39952132972,92782.55023933515,loss,-1.6255,9,5.21e-05
2025-04-26 22:30:00+00:00,2025-04-27 01:00:00+00:00,long,94712.0,95159.17775527539,95159.17775527539,94488.4111223623,win,1.2964,10,2.855e-05
2025-04-27 03:45:00+00:00,2025-04-27 18:45:00+00:00,short,94121.7,94250.6,93423.9927813018,94470.5536093491,cross_exit,-0.5309,60,-1.5e-05
2025-04-27 23:00:00+00:00,2025-04-28 01:15:00+00:00,short,93658.5,93112.15849511506,93112.15849511506,93931.67075244247,win,1.63,9,-4.21e-06
2025-04-28 05:45:00+00:00,2025-04-28 09:00:00+00:00,long,94183.2,94835.75142116437,94835.75142116437,93856.9242894178,win,1.9586,13,3.73e-06
2025-04-28 15:45:00+00:00,2025-04-28 19:00:00+00:00,short,93772.8,94338.16900795238,92642.06198409524,94338.16900795238,loss,-1.9287,13,2.46e-06
2025-04-28 20:45:00+00:00,2025-04-29 01:00:00+00:00,long,94419.8,95270.40239185542,95270.40239185542,93994.4988040723,win,2.5826,17,-5.821e-05
2025-04-29 21:45:00+00:00,2025-04-29 22:15:00+00:00,short,94683.3,93915.38276930302,93915.38276930302,95067.2586153485,win,2.3131,2,1.305e-05
2025-04-30 04:45:00+00:00,2025-04-30 07:00:00+00:00,long,95019.9,94686.17846011279,95687.34307977441,94686.17846011279,loss,-1.1736,9,-5.181e-05
2025-04-30 13:15:00+00:00,2025-04-30 13:30:00+00:00,short,94499.0,93785.42589834161,93785.42589834161,94855.7870508292,win,2.1453,1,2.939e-05
2025-05-05 18:45:00+00:00,2025-05-05 19:45:00+00:00,long,94675.7,94295.79261439588,95435.51477120824,94295.79261439588,loss,-1.3238,4,-2.247e-05
2025-05-05 20:45:00+00:00,2025-05-05 21:00:00+00:00,short,94198.4,94548.9,93466.06730950676,94564.56634524661,cross_exit,-1.2363,1,-2.247e-05
2025-05-06 16:00:00+00:00,2025-05-06 16:45:00+00:00,long,94763.3,94347.05977543801,95595.78044912397,94347.05977543801,loss,-1.4377,3,7.57e-06
2025-05-07 18:15:00+00:00,2025-05-07 21:15:00+00:00,short,96393.7,96854.12261435021,95472.85477129956,96854.12261435021,loss,-1.5529,12,1.32e-05
2025-05-07 21:45:00+00:00,2025-05-08 01:00:00+00:00,long,97084.9,98126.81113034025,98126.81113034025,96563.94443482987,win,3.0996,13,1.32e-05
2025-05-11 07:45:00+00:00,2025-05-11 08:00:00+00:00,short,103327.9,103724.57639557804,102534.5472088439,103724.57639557804,loss,-1.2717,1,0.0001
2025-05-14 03:00:00+00:00,2025-05-14 09:00:00+00:00,short,103611.8,102849.02965818091,102849.02965818091,103993.18517090955,win,2.0885,24,9.921e-05
2025-05-14 12:00:00+00:00,2025-05-14 13:30:00+00:00,long,104018.4,103668.49344563163,104718.21310873673,103668.49344563163,loss,-1.1292,6,7.542e-05
2025-05-14 14:15:00+00:00,2025-05-14 16:00:00+00:00,short,103040.9,103506.68658778498,102109.32682443001,103506.68658778498,loss,-1.4761,7,7.542e-05
2025-05-15 16:15:00+00:00,2025-05-15 19:15:00+00:00,long,103117.0,102530.29805877357,104290.40388245287,102530.29805877357,loss,-1.8269,12,1.439e-05
2025-05-19 03:45:00+00:00,2025-05-19 06:30:00+00:00,short,103569.4,102231.01609802243,102231.01609802243,104238.59195098878,win,3.7568,11,5.99e-05
2025-05-19 15:30:00+00:00,2025-05-20 00:00:00+00:00,long,104819.9,105938.94242349957,105938.94242349957,104260.37878825021,win,3.0828,34,6.04e-05
2025-05-20 08:45:00+00:00,2025-05-20 13:30:00+00:00,short,105182.1,104263.63667642738,104263.63667642738,105641.33166178632,win,2.4996,19,7.107e-05
2025-05-20 17:15:00+00:00,2025-05-20 18:45:00+00:00,long,106080.1,105553.99760727557,107132.30478544887,105553.99760727557,loss,-1.6078,6,1.266e-05
2025-05-21 10:00:00+00:00,2025-05-21 12:15:00+00:00,short,106350.3,106831.06408330497,105388.77183339006,106831.06408330497,loss,-1.4762,9,7.147e-05
2025-05-24 22:45:00+00:00,2025-05-25 00:30:00+00:00,short,108052.8,107353.36079180683,107353.36079180683,108402.51960409658,win,1.8219,7,7.837e-05
2025-05-29 05:00:00+00:00,2025-05-29 07:15:00+00:00,short,107523.7,107937.9,106582.9388770274,107994.0805614863,cross_exit,-1.2757,9,3.186e-05
2025-05-29 07:15:00+00:00,2025-05-29 10:45:00+00:00,long,107937.9,108644.4240169097,108644.4240169097,107584.63799154514,win,1.8437,14,3.186e-05
2025-05-29 14:15:00+00:00,2025-05-29 14:45:00+00:00,short,106999.9,107484.98002184981,106029.73995630034,107484.98002184981,loss,-1.48,2,2.812e-05
2025-05-31 14:00:00+00:00,2025-06-01 01:45:00+00:00,long,104352.2,104066.16255899519,104924.2748820096,104066.16255899519,loss,-0.9423,47,7.552e-05
2025-06-01 02:15:00+00:00,2025-06-01 03:45:00+00:00,short,104120.5,104397.80269404905,103565.8946119019,104397.80269404905,loss,-0.919,6,-5.82e-06
2025-06-01 04:45:00+00:00,2025-06-01 06:00:00+00:00,long,104587.8,104334.10049688809,105095.19900622383,104334.10049688809,loss,-0.8477,5,-5.82e-06
2025-06-01 07:00:00+00:00,2025-06-01 09:30:00+00:00,short,104260.2,103806.0002249316,103806.0002249316,104487.2998875342,win,1.1869,10,-5.82e-06
2025-06-01 14:30:00+00:00,2025-06-01 16:00:00+00:00,long,104622.4,105210.29077676074,105210.29077676074,104328.45461161961,win,1.5658,6,2.335e-05
2025-06-02 05:00:00+00:00,2025-06-02 06:45:00+00:00,short,104868.2,105173.06701003446,104258.46597993109,105173.06701003446,loss,-0.9921,7,-6.42e-06
2025-06-02 07:15:00+00:00,2025-06-02 08:15:00+00:00,long,105230.4,105835.51756421663,105835.51756421663,104927.84121789168,win,1.6051,4,-6.42e-06
2025-06-02 09:45:00+00:00,2025-06-02 13:45:00+00:00,short,104530.5,103751.44914289704,103751.44914289704,104920.02542855148,win,2.1159,16,5.593e-05
2025-06-03 08:15:00+00:00,2025-06-03 09:30:00+00:00,short,104880.1,105152.44034461518,104335.41931076965,105152.44034461518,loss,-0.899,5,6.066e-05
2025-06-03 23:30:00+00:00,2025-06-04 01:15:00+00:00,short,105255.6,105631.9823222655,104502.83535546901,105631.9823222655,loss,-1.1928,7,4.456e-05
2025-06-04 10:15:00+00:00,2025-06-04 11:15:00+00:00,long,105683.0,105428.99615788487,106191.00768423025,105428.99615788487,loss,-0.841,4,2.611e-05
2025-06-04 11:30:00+00:00,2025-06-04 13:45:00+00:00,short,105181.7,104647.55848269898,104647.55848269898,105448.77075865051,win,1.4035,9,2.611e-05
