entry_dt,exit_dt,side,result,pnl_pct
2023-10-08 13:15:00+00:00,2023-10-08 22:00:00+00:00,long,loss,-0.91
2023-10-13 06:45:00+00:00,2023-10-13 07:00:00+00:00,short,loss,-0.5405
2023-12-22 06:30:00+00:00,2023-12-22 07:45:00+00:00,short,win,2.3807
2024-01-09 12:45:00+00:00,2024-01-09 13:00:00+00:00,short,loss,-2.215
2024-01-09 21:15:00+00:00,2024-01-10 12:45:00+00:00,short,win,8.4317
2024-01-17 14:45:00+00:00,2024-01-17 20:30:00+00:00,short,loss,-1.58
2024-02-23 14:45:00+00:00,2024-02-23 15:15:00+00:00,long,loss,-1.4692
2024-03-12 14:00:00+00:00,2024-03-12 16:15:00+00:00,short,win,4.5983
2024-04-23 12:45:00+00:00,2024-04-23 14:00:00+00:00,long,win,2.1608
2024-05-07 22:15:00+00:00,2024-05-07 23:00:00+00:00,long,loss,-1.4019
2024-05-16 12:30:00+00:00,2024-05-16 15:00:00+00:00,short,win,2.8594
2024-05-17 11:00:00+00:00,2024-05-17 12:45:00+00:00,short,loss,-1.2122
2024-07-15 19:15:00+00:00,2024-07-15 19:30:00+00:00,short,loss,-1.7597
2024-07-22 00:45:00+00:00,2024-07-22 05:45:00+00:00,short,win,2.8976
2024-09-01 13:45:00+00:00,2024-09-01 14:00:00+00:00,long,loss,-1.3032
2024-09-04 14:00:00+00:00,2024-09-04 14:15:00+00:00,long,loss,-1.4865
2024-10-28 13:45:00+00:00,2024-10-28 14:00:00+00:00,short,loss,-1.3089
2024-11-07 20:15:00+00:00,2024-11-08 18:30:00+00:00,short,loss,-1.9324
2024-11-10 12:00:00+00:00,2024-11-10 13:15:00+00:00,short,loss,-1.6584
2024-12-18 06:45:00+00:00,2024-12-18 11:30:00+00:00,long,win,3.3459
2024-12-25 06:15:00+00:00,2024-12-25 07:15:00+00:00,short,loss,-1.112
2025-01-21 14:30:00+00:00,2025-01-21 16:00:00+00:00,short,loss,-2.1687
2025-01-24 14:30:00+00:00,2025-01-24 14:45:00+00:00,long,loss,-1.5135
2025-02-17 04:15:00+00:00,2025-02-17 05:00:00+00:00,long,loss,-0.8391
2025-02-17 05:00:00+00:00,2025-02-17 05:15:00+00:00,long,loss,-0.9202
2025-03-04 14:30:00+00:00,2025-03-04 14:45:00+00:00,long,loss,-3.3587
2025-04-02 13:30:00+00:00,2025-04-02 15:00:00+00:00,long,win,2.7477
