rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,2.0,bb_mid,5,0.3,False,347,47.3,-90.03,90.23,-1.0,1h
35,2.0,2.0,bb_mid,5,0.3,False,432,50.5,-90.31,91.2,-0.99,1h
35,1.2,1.5,atr_2x,7,0.3,False,613,39.3,-90.38,92.35,-0.98,1h
35,1.5,2.0,bb_mid,5,0.3,False,541,52.1,-90.57,91.27,-0.99,1h
35,1.2,2.0,bb_mid,5,0.3,False,589,53.1,-90.61,91.68,-0.99,1h
35,1.5,2.0,atr_3x,7,0.3,False,494,38.1,-90.72,93.78,-0.97,1h
30,1.2,2.0,atr_3x,5,0.3,False,352,34.4,-90.81,93.06,-0.98,1h
35,1.2,2.0,atr_2x,7,0.3,False,566,46.3,-90.94,93.02,-0.98,1h
30,2.0,1.5,atr_3x,7,0.3,False,283,26.9,-90.97,91.21,-1.0,1h
30,1.2,2.0,bb_mid,5,0.3,False,369,48.2,-91.42,91.69,-1.0,1h
30,1.5,2.0,atr_2x,7,0.3,False,340,41.8,-91.95,92.59,-0.99,1h
35,2.0,1.0,atr_2x,7,0.3,False,460,27.6,-92.14,93.44,-0.99,1h
30,1.2,1.5,bb_mid,7,0.3,False,385,41.6,-92.29,92.62,-1.0,1h
30,2.0,1.5,bb_mid,7,0.3,False,296,37.5,-92.45,92.44,-1.0,1h
35,2.0,2.0,atr_3x,7,0.3,False,397,38.0,-92.47,93.12,-0.99,1h
35,1.5,1.5,bb_mid,7,0.3,False,575,44.3,-92.74,93.94,-0.99,1h
35,2.0,1.0,bb_mid,7,0.3,False,467,30.6,-92.86,93.49,-0.99,1h
30,2.0,2.0,atr_2x,7,0.3,False,279,40.5,-92.95,93.3,-1.0,1h
35,2.0,1.5,atr_2x,7,0.3,False,432,36.8,-93.36,94.11,-0.99,1h
35,1.2,2.0,atr_3x,7,0.3,False,536,38.6,-93.63,96.62,-0.97,1h
30,1.5,1.0,atr_3x,7,0.3,False,369,19.5,-93.72,93.72,-1.0,1h
35,1.5,1.0,bb_mid,7,0.3,False,610,33.1,-93.82,94.57,-0.99,1h
35,1.2,1.5,atr_3x,7,0.3,False,583,31.4,-93.94,96.15,-0.98,1h
35,2.0,2.0,atr_2x,7,0.3,False,414,43.7,-94.31,94.79,-0.99,1h
30,1.5,2.0,atr_3x,7,0.3,False,330,33.6,-94.69,96.42,-0.98,1h
30,1.5,1.0,bb_mid,7,0.3,False,378,28.3,-94.8,94.8,-1.0,1h
35,1.2,1.5,bb_mid,7,0.3,False,628,45.1,-94.87,95.69,-0.99,1h
30,1.2,2.0,atr_2x,7,0.3,False,362,42.3,-95.09,95.48,-1.0,1h
35,2.0,1.5,bb_mid,7,0.3,False,449,41.6,-95.35,96.08,-0.99,1h
30,2.0,2.0,bb_mid,7,0.3,False,287,45.3,-96.0,96.11,-1.0,1h
30,2.0,2.0,atr_3x,7,0.3,False,273,32.6,-96.18,96.46,-1.0,1h
30,1.5,2.0,bb_mid,7,0.3,False,347,47.3,-96.71,96.8,-1.0,1h
35,2.0,2.0,bb_mid,7,0.3,False,432,50.5,-96.89,97.27,-1.0,1h
35,1.5,2.0,bb_mid,7,0.3,False,541,52.1,-97.13,97.41,-1.0,1h
35,1.2,2.0,bb_mid,7,0.3,False,589,53.1,-97.2,97.61,-1.0,1h
30,1.2,2.0,atr_3x,7,0.3,False,352,34.4,-97.35,98.09,-0.99,1h
30,1.2,2.0,bb_mid,7,0.3,False,369,48.2,-97.37,97.49,-1.0,1h
