rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
20,65,1.5,atr_2x,1,0.5,True,20.65,12.39,1.67,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-1.9,0.7,-2.0,0.0,10.4,1.4,1.8,10.4,-1.0,-518.35
25,65,1.5,atr_2x,1,0.5,True,20.14,12.39,1.63,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-1.9,0.7,0.4,-2.8,10.5,1.4,1.8,10.4,-1.0,-518.86
25,65,2.5,atr_2x,2,0.3,True,20.12,23.33,0.86,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-4.1,-0.4,-2.2,-5.6,13.2,0.9,8.8,10.1,-0.5,-518.88
25,65,2.0,atr_3x,2,0.3,True,19.83,23.12,0.86,70,47.1,4,25.0,66,48.5,7,10,70.0,0.0,1.5,-5.6,7.7,-4.5,3.5,1.1,4.9,8.9,1.6,-519.17
25,65,1.5,atr_3x,1,0.7,True,19.47,18.7,1.04,77,40.3,4,25.0,73,41.1,6,10,60.0,0.0,-1.0,-1.4,5.5,-3.9,3.0,1.6,1.9,13.2,0.2,-519.53
25,65,3.0,atr_2x,1,0.5,True,18.68,17.9,1.04,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-4.5,-1.3,1.5,0.6,8.5,0.0,6.9,7.4,-1.0,-520.32
20,65,1.5,atr_3x,1,0.5,True,18.49,12.48,1.48,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-0.4,-1.0,0.5,0.0,6.4,1.1,1.4,9.4,0.2,-520.51
20,65,2.5,atr_3x,2,0.5,True,18.41,38.07,0.48,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-13.8,-5.1,1.1,0.0,9.3,-0.4,15.9,11.8,1.4,-520.59
20,65,2.5,atr_3x,3,0.3,True,17.82,34.78,0.51,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-12.0,-4.5,1.1,0.0,8.6,-0.3,14.3,10.7,1.3,-521.18
20,65,2.5,atr_3x,2,0.7,True,17.62,50.11,0.35,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-21.2,-7.5,0.6,0.0,11.6,-0.7,22.5,16.2,1.7,-521.38
20,65,3.0,atr_2x,1,0.5,True,17.57,18.84,0.93,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-4.5,-1.3,-0.8,0.0,10.7,0.0,6.9,7.4,-1.0,-521.43
25,65,1.5,atr_3x,2,0.3,True,17.2,16.09,1.07,77,40.3,4,25.0,73,41.1,6,10,60.0,0.0,-0.7,-1.2,4.8,-3.4,2.7,1.3,1.6,11.3,0.2,-521.8
25,65,2.5,atr_2x,1,0.5,True,17.1,19.7,0.87,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-3.2,-0.3,-1.7,-4.7,11.0,0.7,7.3,8.4,-0.4,-521.9
25,65,2.0,atr_3x,1,0.5,True,16.97,19.52,0.87,70,47.1,4,25.0,66,48.5,7,10,70.0,0.0,1.5,-4.6,6.5,-3.7,3.1,0.9,4.1,7.5,1.3,-522.03
20,65,2.5,atr_3x,3,0.5,True,16.65,52.84,0.32,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-23.2,-8.1,0.4,0.0,12.0,-0.8,24.2,17.3,1.7,-522.35
20,65,2.5,atr_3x,1,0.7,True,15.74,27.84,0.57,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-8.8,-3.4,1.1,0.0,7.0,-0.2,11.0,8.4,1.0,-523.26
20,65,2.0,atr_2x,1,0.3,True,14.8,8.86,1.67,69,59.4,0,0.0,69,59.4,5,10,50.0,0.0,-0.6,-1.2,-1.3,0.0,8.4,0.9,2.4,5.6,0.1,-524.2
25,65,1.5,atr_3x,1,0.5,True,14.74,13.45,1.1,77,40.3,4,25.0,73,41.1,6,10,60.0,0.0,-0.4,-1.0,4.1,-2.8,2.4,1.1,1.4,9.4,0.2,-524.26
20,65,2.0,atr_3x,1,0.3,True,14.29,10.64,1.34,66,48.5,0,0.0,66,48.5,7,10,70.0,0.0,1.1,-2.8,1.8,0.0,5.2,0.6,2.5,4.5,0.8,-524.71
20,65,2.5,atr_3x,2,0.3,True,14.26,24.2,0.59,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-7.3,-2.9,1.1,0.0,6.2,-0.2,9.4,7.2,0.9,-524.74
25,65,2.0,atr_2x,1,0.3,True,13.43,9.63,1.39,73,58.9,4,50.0,69,59.4,6,10,60.0,0.0,-0.6,-1.2,0.1,-2.2,8.1,0.9,2.4,5.6,0.1,-525.57
20,65,2.5,atr_2x,1,0.3,True,13.05,10.87,1.2,69,63.8,0,0.0,69,63.8,4,10,40.0,0.0,-1.7,-0.1,-2.4,0.0,7.4,0.5,4.3,5.0,-0.2,-525.95
20,65,2.5,atr_3x,1,0.5,True,12.49,20.45,0.61,65,52.3,0,0.0,65,52.3,5,10,50.0,0.0,-5.8,-2.4,1.0,0.0,5.3,-0.1,7.8,6.1,0.8,-526.51
20,65,1.5,atr_2x,1,0.3,True,12.38,7.6,1.63,77,51.9,0,0.0,77,51.9,5,10,50.0,0.0,-1.0,0.4,-1.1,0.0,6.2,0.8,1.1,6.2,-0.6,-526.62
25,65,1.5,atr_2x,1,0.3,True,12.13,7.6,1.6,81,51.9,4,50.0,77,51.9,6,10,60.0,0.0,-1.0,0.4,0.3,-1.7,6.3,0.8,1.1,6.2,-0.6,-526.87
20,70,2.0,atr_3x,3,0.5,True,11.94,39.0,0.31,27,48.1,0,0.0,27,48.1,6,10,60.0,0.0,-28.6,1.9,13.6,0.0,18.0,6.0,-4.3,3.0,9.8,-527.06
20,70,2.0,atr_3x,2,0.7,True,11.9,36.76,0.32,27,48.1,0,0.0,27,48.1,6,10,60.0,0.0,-26.7,1.8,12.8,0.0,16.8,5.7,-4.0,2.8,9.2,-527.1
