rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
30,70,2.5,atr_3x,2,0.3,True,38.7,13.77,2.81,36,52.8,10,40.0,26,57.7,7,9,77.8,-3.3,7.9,1.5,8.0,18.3,-3.4,3.7,1.5,0.8,-10.699999999999996
25,65,2.5,atr_3x,2,0.3,True,38.21,13.64,2.8,63,52.4,4,25.0,59,54.2,7,9,77.8,-9.2,13.0,0.8,11.7,1.8,-1.1,2.5,10.8,4.7,-11.189999999999998
30,70,2.5,atr_3x,2,0.7,True,89.67,32.08,2.8,36,52.8,10,40.0,26,57.7,7,9,77.8,-10.5,18.8,2.6,14.9,45.7,-7.8,8.7,2.2,1.5,40.27
30,70,2.5,atr_3x,1,0.5,True,32.08,11.46,2.8,36,52.8,10,40.0,26,57.7,7,9,77.8,-2.6,6.5,1.3,6.9,15.1,-2.8,3.1,1.3,0.7,-17.32
25,65,2.5,atr_3x,1,0.7,True,44.27,15.88,2.79,63,52.4,4,25.0,59,54.2,7,9,77.8,-10.9,15.2,0.9,13.4,2.0,-1.3,2.9,12.6,5.4,-5.1299999999999955
30,70,2.5,atr_3x,3,0.5,True,95.33,34.31,2.78,36,52.8,10,40.0,26,57.7,7,9,77.8,-11.6,20.2,2.6,15.4,49.4,-8.4,9.3,2.2,1.6,45.93
30,70,2.5,atr_3x,1,0.3,True,18.97,6.85,2.77,36,52.8,10,40.0,26,57.7,7,9,77.8,-1.4,3.9,0.8,4.3,8.9,-1.7,1.9,0.8,0.5,-30.43
25,65,2.5,atr_3x,3,0.3,True,55.72,20.32,2.74,63,52.4,4,25.0,59,54.2,7,9,77.8,-14.3,19.6,1.0,16.4,2.3,-1.7,3.6,16.1,6.9,6.32
20,65,1.5,atr_3x,3,0.5,True,89.24,32.73,2.73,69,42.0,0,0.0,69,42.0,7,9,77.8,-9.3,39.3,10.8,26.1,-24.1,6.1,13.8,6.9,9.5,39.839999999999996
20,65,1.5,atr_3x,2,0.7,True,84.23,30.84,2.73,69,42.0,0,0.0,69,42.0,7,9,77.8,-8.4,36.4,10.1,24.9,-22.6,5.7,12.9,6.5,8.9,34.830000000000005
25,65,2.5,atr_3x,2,0.5,True,61.03,22.52,2.71,63,52.4,4,25.0,59,54.2,7,9,77.8,-16.1,21.9,1.1,17.8,2.4,-2.0,3.9,17.8,7.6,11.630000000000003
20,65,1.5,atr_3x,2,0.5,True,61.93,22.87,2.71,69,42.0,0,0.0,69,42.0,7,9,77.8,-5.4,25.5,7.5,19.2,-16.4,4.2,9.4,5.0,6.5,12.530000000000001
20,65,1.5,atr_3x,3,0.3,True,55.93,20.77,2.69,69,42.0,0,0.0,69,42.0,7,9,77.8,-4.8,22.8,6.8,17.5,-14.8,3.8,8.5,4.5,5.9,6.530000000000001
20,65,1.5,atr_3x,1,0.7,True,43.6,16.45,2.65,69,42.0,0,0.0,69,42.0,7,9,77.8,-3.5,17.5,5.4,14.1,-11.6,3.0,6.7,3.6,4.6,-5.799999999999997
20,65,1.5,atr_3x,2,0.3,True,37.34,14.23,2.62,69,42.0,0,0.0,69,42.0,7,9,77.8,-2.9,14.9,4.7,12.3,-10.0,2.6,5.7,3.2,4.0,-12.059999999999995
20,65,1.5,atr_3x,3,0.7,True,112.63,43.27,2.6,69,42.0,0,0.0,69,42.0,7,9,77.8,-14.6,56.6,14.2,31.5,-32.7,8.2,18.8,8.6,12.7,63.23
30,70,2.5,atr_3x,3,0.7,True,122.61,47.22,2.6,36,52.8,10,40.0,26,57.7,7,9,77.8,-19.0,28.8,2.8,16.5,72.7,-11.7,13.0,1.7,1.7,73.21000000000001
20,65,1.5,atr_3x,1,0.5,True,31.05,11.97,2.59,69,42.0,0,0.0,69,42.0,7,9,77.8,-2.3,12.4,3.9,10.4,-8.4,2.2,4.8,2.7,3.3,-18.349999999999998
25,65,1.5,atr_3x,2,0.5,True,59.81,23.56,2.54,73,41.1,4,25.0,69,42.0,7,9,77.8,-10.4,25.5,7.5,19.2,-16.4,3.3,9.4,10.3,6.5,10.410000000000004
25,65,1.5,atr_3x,3,0.3,True,54.17,21.41,2.53,73,41.1,4,25.0,69,42.0,7,9,77.8,-9.2,22.8,6.8,17.5,-14.8,3.0,8.5,9.4,5.9,4.770000000000003
25,65,2.5,atr_3x,2,0.7,True,78.52,31.09,2.53,63,52.4,4,25.0,59,54.2,7,9,77.8,-23.3,30.8,1.3,22.2,2.5,-3.1,5.0,24.4,10.5,29.119999999999997
20,65,1.5,atr_3x,1,0.3,True,18.47,7.31,2.53,69,42.0,0,0.0,69,42.0,7,9,77.8,-1.3,7.3,2.4,6.4,-5.1,1.3,2.9,1.7,2.0,-30.93
25,65,1.5,atr_3x,2,0.7,True,80.22,31.7,2.53,73,41.1,4,25.0,69,42.0,7,9,77.8,-15.2,36.4,10.1,24.9,-22.6,4.4,12.9,13.9,8.9,30.82
25,65,1.5,atr_3x,3,0.5,True,84.65,33.63,2.52,73,41.1,4,25.0,69,42.0,7,9,77.8,-16.4,39.3,10.8,26.1,-24.1,4.7,13.8,14.7,9.5,35.25000000000001
25,65,1.5,atr_3x,1,0.7,True,42.48,16.98,2.5,73,41.1,4,25.0,69,42.0,7,9,77.8,-7.0,17.5,5.4,14.1,-11.6,2.4,6.7,7.4,4.6,-6.920000000000002
35,65,3.0,atr_3x,1,0.3,True,24.97,10.02,2.49,85,54.1,32,40.6,53,62.3,6,9,66.7,-7.8,4.2,-0.8,8.6,9.9,0.0,4.6,2.9,2.0,-24.43
30,65,3.0,atr_3x,3,0.7,True,121.6,48.94,2.48,63,58.7,10,40.0,53,62.3,7,9,77.8,-48.9,41.5,35.5,9.1,81.0,-10.9,0.4,14.1,12.1,72.19999999999999
25,65,1.5,atr_3x,2,0.3,True,36.47,14.69,2.48,73,41.1,4,25.0,69,42.0,7,9,77.8,-5.9,14.9,4.7,12.3,-10.0,2.0,5.7,6.4,4.0,-12.93
25,65,2.5,atr_3x,3,0.5,True,81.76,33.17,2.47,63,52.4,4,25.0,59,54.2,7,9,77.8,-25.1,33.1,1.4,23.0,2.5,-3.3,5.3,26.0,11.2,32.36000000000001
25,65,1.5,atr_3x,1,0.5,True,30.4,12.36,2.46,73,41.1,4,25.0,69,42.0,7,9,77.8,-4.9,12.4,3.9,10.4,-8.4,1.7,4.8,5.4,3.3,-19.0
20,65,2.0,atr_3x,2,0.5,True,68.74,28.67,2.4,64,50.0,0,0.0,64,50.0,7,9,77.8,-3.7,20.5,-5.7,8.3,7.0,1.5,6.6,18.1,4.1,19.339999999999996
25,65,1.5,atr_3x,1,0.3,True,18.16,7.56,2.4,73,41.1,4,25.0,69,42.0,7,9,77.8,-2.8,7.3,2.4,6.4,-5.1,1.1,2.9,3.3,2.0,-31.24
20,65,2.0,atr_3x,3,0.3,True,62.17,26.02,2.39,64,50.0,0,0.0,64,50.0,7,9,77.8,-3.1,18.4,-5.0,8.0,6.4,1.4,6.0,16.2,3.7,12.770000000000003
20,65,2.0,atr_3x,2,0.7,True,92.44,38.75,2.39,64,50.0,0,0.0,64,50.0,7,9,77.8,-6.5,28.8,-8.2,8.5,9.2,1.9,9.0,25.4,5.4,43.04
35,65,3.0,atr_3x,1,0.5,True,40.09,16.85,2.38,85,54.1,32,40.6,53,62.3,6,9,66.7,-12.8,6.8,-1.4,12.8,16.7,-0.1,7.5,4.6,3.3,-9.309999999999995
20,65,2.0,atr_3x,3,0.5,True,97.51,41.14,2.37,64,50.0,0,0.0,64,50.0,7,9,77.8,-7.3,30.9,-8.8,8.3,9.7,2.0,9.5,27.2,5.7,48.11000000000001
30,70,3.0,atr_3x,2,0.5,True,64.4,27.22,2.37,34,58.8,10,40.0,24,66.7,7,9,77.8,-10.7,13.3,5.3,7.9,30.0,-6.5,6.2,10.8,0.1,15.000000000000007
