rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
30,1.5,atr_2x,7,0.3,True,14,4.7,57.1,36.62,7.09,5.16,1h
35,2.0,atr_3x,5,0.3,True,39,13.0,46.2,36.52,23.61,1.55,1h
30,2.0,atr_3x,5,0.3,True,14,4.7,57.1,36.31,6.68,5.43,1h
30,1.0,atr_3x,5,0.3,True,15,5.0,46.7,36.25,5.8,6.25,1h
45,2.0,atr_3x,5,0.2,True,126,42.0,38.1,36.04,30.06,1.2,1h
40,1.5,atr_3x,5,0.2,True,98,32.7,33.7,35.4,23.32,1.52,1h
45,1.5,atr_3x,5,0.3,True,135,45.0,32.6,34.87,41.2,0.85,1h
35,2.0,atr_3x,7,0.2,True,39,13.0,46.2,34.39,22.18,1.55,1h
30,2.0,atr_3x,7,0.2,True,14,4.7,57.1,33.76,6.24,5.41,1h
30,1.0,atr_3x,7,0.2,True,15,5.0,46.7,33.66,5.42,6.21,1h
45,1.5,atr_3x,7,0.2,True,135,45.0,32.6,33.65,39.02,0.86,1h
45,2.0,atr_3x,3,0.3,True,126,42.0,38.1,32.9,27.45,1.2,1h
40,1.5,atr_3x,3,0.3,True,98,32.7,33.7,32.03,21.17,1.51,1h
40,1.0,atr_3x,3,0.2,True,107,35.7,29.0,31.43,13.76,2.28,1h
35,1.5,atr_3x,5,0.2,True,41,13.7,39.0,31.35,13.19,2.38,1h
30,1.5,bb_mid,7,0.3,True,14,4.7,71.4,30.62,6.21,4.93,1h
35,1.5,atr_2x,5,0.3,True,42,14.0,45.2,30.24,14.12,2.14,1h
30,1.0,atr_2x,7,0.3,True,15,5.0,46.7,29.06,7.11,4.09,1h
35,1.0,atr_3x,5,0.2,True,45,15.0,28.9,28.95,15.53,1.86,1h
45,1.0,atr_3x,5,0.2,True,150,50.0,26.0,28.65,22.12,1.3,1h
35,1.5,atr_2x,7,0.2,True,42,14.0,45.2,28.33,13.23,2.14,1h
35,1.5,atr_3x,3,0.3,True,41,13.7,39.0,28.18,11.93,2.36,1h
30,1.5,atr_3x,5,0.2,True,14,4.7,57.1,28.08,3.38,8.31,1h
35,1.0,atr_2x,7,0.3,True,47,15.7,34.0,27.29,19.0,1.44,1h
40,1.0,atr_2x,7,0.3,True,111,37.0,34.2,27.24,37.04,0.74,1h
45,1.5,atr_3x,5,0.2,True,135,45.0,32.6,26.93,29.57,0.91,1h
30,2.0,atr_2x,7,0.3,True,14,4.7,57.1,26.76,9.35,2.86,1h
35,2.0,atr_2x,7,0.3,True,41,13.7,51.2,26.65,24.59,1.08,1h
45,2.0,atr_3x,7,0.1,True,126,42.0,38.1,26.22,21.97,1.19,1h
45,1.0,atr_3x,3,0.3,True,150,50.0,26.0,26.21,20.1,1.3,1h
35,1.0,atr_3x,3,0.3,True,45,15.0,28.9,26.04,14.08,1.85,1h
40,1.0,atr_3x,5,0.1,True,107,35.7,29.0,25.91,11.58,2.24,1h
30,1.5,atr_2x,5,0.3,True,14,4.7,57.1,25.68,5.07,5.07,1h
35,2.0,atr_3x,5,0.2,True,39,13.0,46.2,25.3,16.26,1.56,1h
30,2.0,bb_mid,7,0.3,True,14,4.7,71.4,25.22,8.08,3.12,1h
40,1.5,atr_3x,7,0.1,True,98,32.7,33.7,25.12,16.76,1.5,1h
30,1.5,atr_3x,3,0.3,True,14,4.7,57.1,25.09,3.04,8.25,1h
45,1.5,atr_3x,3,0.3,True,135,45.0,32.6,24.82,27.01,0.92,1h
30,1.5,atr_2x,7,0.2,True,14,4.7,57.1,23.89,4.73,5.05,1h
30,2.0,atr_3x,5,0.2,True,14,4.7,57.1,23.72,4.46,5.32,1h
30,1.0,atr_3x,5,0.2,True,15,5.0,46.7,23.55,3.88,6.07,1h
30,1.0,bb_mid,7,0.3,True,15,5.0,53.3,23.51,9.2,2.56,1h
35,2.0,atr_3x,3,0.3,True,39,13.0,46.2,22.9,14.73,1.55,1h
45,2.0,atr_3x,3,0.2,True,126,42.0,38.1,22.71,19.11,1.19,1h
45,1.5,bb_mid,7,0.3,True,152,50.7,57.9,21.97,46.68,0.47,1h
45,1.5,atr_2x,7,0.3,True,141,47.0,42.6,21.96,42.91,0.51,1h
40,1.0,atr_2x,5,0.3,True,111,37.0,34.2,21.91,27.89,0.79,1h
35,1.5,atr_3x,7,0.1,True,41,13.7,39.0,21.84,9.38,2.33,1h
40,1.5,atr_3x,3,0.2,True,98,32.7,33.7,21.6,14.5,1.49,1h
30,1.5,bb_mid,5,0.3,True,14,4.7,71.4,21.42,4.46,4.8,1h
30,2.0,atr_3x,3,0.3,True,14,4.7,57.1,21.26,4.01,5.3,1h
35,2.0,atr_2x,5,0.3,True,41,13.7,51.2,21.13,17.89,1.18,1h
30,1.0,atr_3x,3,0.3,True,15,5.0,46.7,21.09,3.49,6.03,1h
45,1.0,atr_3x,7,0.1,True,150,50.0,26.0,21.0,15.93,1.32,1h
45,1.5,atr_2x,5,0.3,True,141,47.0,42.6,20.93,32.62,0.64,1h
40,1.0,atr_2x,7,0.2,True,111,37.0,34.2,20.8,26.26,0.79,1h
35,1.0,atr_2x,5,0.3,True,47,15.7,34.0,20.6,13.86,1.49,1h
30,1.0,atr_2x,5,0.3,True,15,5.0,46.7,20.59,5.11,4.03,1h
35,1.5,bb_mid,7,0.3,True,42,14.0,54.8,20.54,23.67,0.87,1h
35,1.5,atr_2x,5,0.2,True,42,14.0,45.2,20.47,9.59,2.14,1h
45,1.5,atr_2x,7,0.2,True,141,47.0,42.6,20.31,30.76,0.66,1h
35,1.0,atr_3x,7,0.1,True,45,15.0,28.9,20.21,11.12,1.82,1h
45,1.5,atr_3x,7,0.1,True,135,45.0,32.6,20.15,21.65,0.93,1h
35,2.0,atr_2x,7,0.2,True,41,13.7,51.2,20.02,16.75,1.2,1h
30,1.5,bb_mid,7,0.2,True,14,4.7,71.4,19.92,4.16,4.78,1h
35,1.0,atr_2x,7,0.2,True,47,15.7,34.0,19.39,12.98,1.49,1h
30,2.0,atr_2x,5,0.3,True,14,4.7,57.1,19.23,6.68,2.88,1h
30,1.5,atr_3x,7,0.1,True,14,4.7,57.1,19.22,2.37,8.12,1h
