entry_dt,exit_dt,side,result,pnl_pct
2023-03-30 02:45:00+00:00,2023-03-30 03:00:00+00:00,short,win,5.0888
2023-04-02 12:30:00+00:00,2023-04-02 12:45:00+00:00,long,loss,-0.884
2023-04-03 20:15:00+00:00,2023-04-03 20:45:00+00:00,long,loss,-2.3457
2023-04-05 01:00:00+00:00,2023-04-05 02:30:00+00:00,short,loss,-1.9744
2023-04-05 14:15:00+00:00,2023-04-05 15:00:00+00:00,long,loss,-2.0436
2023-04-10 15:15:00+00:00,2023-04-10 15:30:00+00:00,short,loss,-1.0828
2023-04-12 02:30:00+00:00,2023-04-12 12:30:00+00:00,long,win,2.2804
2023-04-19 07:00:00+00:00,2023-04-19 08:00:00+00:00,long,loss,-1.33
2023-04-23 15:30:00+00:00,2023-04-23 16:30:00+00:00,long,win,1.5519
2023-05-10 07:30:00+00:00,2023-05-10 11:45:00+00:00,long,win,1.0272
2023-05-14 15:15:00+00:00,2023-05-14 17:00:00+00:00,short,win,2.0099
2023-05-22 13:45:00+00:00,2023-05-22 14:00:00+00:00,short,win,1.7793
2023-05-25 12:30:00+00:00,2023-05-25 15:30:00+00:00,short,win,1.5954
2023-05-25 19:15:00+00:00,2023-05-26 05:45:00+00:00,short,win,1.8191
2023-06-01 03:00:00+00:00,2023-06-01 16:45:00+00:00,long,win,3.791
2023-06-10 17:45:00+00:00,2023-06-10 18:15:00+00:00,short,win,3.6536
2023-06-16 16:00:00+00:00,2023-06-16 16:45:00+00:00,short,loss,-2.0939
2023-06-22 14:45:00+00:00,2023-06-22 16:15:00+00:00,long,win,3.3581
2023-06-25 18:15:00+00:00,2023-06-25 22:30:00+00:00,long,win,1.62
2023-06-29 07:15:00+00:00,2023-06-29 09:45:00+00:00,short,loss,-1.0454
2023-07-08 19:30:00+00:00,2023-07-08 20:00:00+00:00,long,loss,-0.7516
2023-07-16 14:30:00+00:00,2023-07-16 18:30:00+00:00,short,win,0.6907
2023-07-19 01:00:00+00:00,2023-07-19 04:15:00+00:00,short,loss,-1.211
2023-07-20 05:45:00+00:00,2023-07-20 07:15:00+00:00,short,loss,-0.9619
2023-07-25 13:45:00+00:00,2023-07-25 14:45:00+00:00,short,win,1.0336
2023-07-30 06:30:00+00:00,2023-07-30 10:45:00+00:00,long,loss,-0.3272
2023-08-06 21:15:00+00:00,2023-08-06 21:45:00+00:00,short,win,0.7193
2023-08-11 14:15:00+00:00,2023-08-11 15:00:00+00:00,short,win,0.6643
2023-08-14 14:45:00+00:00,2023-08-14 15:15:00+00:00,short,loss,-0.7916
2023-08-15 19:15:00+00:00,2023-08-16 12:15:00+00:00,long,loss,-0.9743
2023-08-27 10:00:00+00:00,2023-08-27 10:30:00+00:00,short,loss,-0.3606
2023-08-31 15:45:00+00:00,2023-08-31 16:15:00+00:00,long,loss,-1.8331
2023-09-02 15:30:00+00:00,2023-09-02 16:30:00+00:00,short,win,0.9647
2023-09-06 03:00:00+00:00,2023-09-06 03:30:00+00:00,short,win,0.4695
2023-09-09 13:45:00+00:00,2023-09-09 14:45:00+00:00,long,win,0.3061
2023-09-20 19:45:00+00:00,2023-09-20 21:15:00+00:00,long,win,2.1697
2023-09-27 10:15:00+00:00,2023-09-27 10:30:00+00:00,short,loss,-0.7779
2023-10-06 08:00:00+00:00,2023-10-06 10:00:00+00:00,short,loss,-0.8592
2023-10-08 01:45:00+00:00,2023-10-08 02:15:00+00:00,short,loss,-0.5708
