macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
1200,45,20,65,1.5,atr_2x,3,0.5,308,183,125,38.3,36.6,40.8,-91.65,93.01,-0.99
800,35,25,70,1.5,atr_3x,3,0.5,255,171,84,29.0,27.5,32.1,-91.66,96.71,-0.95
800,35,25,65,1.5,atr_2x,3,0.5,310,172,138,38.4,34.3,43.5,-91.8,94.78,-0.97
1200,45,20,70,1.5,atr_2x,3,0.5,261,183,78,35.6,36.6,33.3,-91.94,92.7,-0.99
1200,40,25,70,2.0,atr_2x,3,0.5,250,183,67,42.4,42.1,43.3,-91.99,94.6,-0.97
500,35,20,70,2.0,atr_2x,3,0.7,163,107,56,46.0,43.0,51.8,-92.11,96.85,-0.95
1200,40,20,65,2.0,atr_3x,3,0.7,241,136,105,40.2,36.0,45.7,-92.13,94.67,-0.97
800,45,25,70,1.5,atr_3x,3,0.5,327,243,84,29.4,28.4,32.1,-92.13,96.5,-0.95
1200,40,20,65,2.0,atr_2x,3,0.5,252,141,111,45.2,42.6,48.6,-92.41,94.2,-0.98
500,35,25,70,2.0,atr_3x,3,0.7,218,163,55,39.0,35.6,49.1,-92.42,98.7,-0.94
800,45,20,65,1.5,atr_3x,3,0.7,317,184,133,33.1,29.9,37.6,-92.59,95.61,-0.97
800,40,25,70,1.5,atr_3x,3,0.5,300,216,84,29.0,27.8,32.1,-92.63,96.78,-0.96
1200,45,25,65,2.0,atr_3x,3,0.7,303,198,105,39.6,36.4,45.7,-92.67,97.44,-0.95
500,35,25,65,1.5,atr_2x,3,0.5,303,187,116,38.6,33.7,46.6,-92.71,95.06,-0.98
1200,35,20,65,1.5,atr_3x,3,0.7,227,104,123,32.6,28.8,35.8,-92.72,95.63,-0.97
500,45,25,65,1.5,atr_2x,3,0.5,383,267,116,39.2,36.0,46.6,-92.73,94.79,-0.98
500,40,25,65,1.5,atr_2x,3,0.5,353,237,116,39.1,35.4,46.6,-92.77,94.28,-0.98
800,45,25,65,1.5,atr_2x,3,0.5,388,250,138,38.7,36.0,43.5,-92.81,95.02,-0.98
800,35,25,70,1.5,atr_2x,3,0.5,256,172,84,35.2,34.3,36.9,-92.83,94.9,-0.98
800,40,25,65,1.5,atr_2x,3,0.5,358,220,138,38.5,35.5,43.5,-92.84,94.61,-0.98
800,40,20,65,2.0,atr_3x,3,0.7,257,142,115,40.5,35.9,46.1,-92.86,96.86,-0.96
800,40,20,65,1.5,atr_3x,3,0.7,290,157,133,33.1,29.3,37.6,-92.96,95.48,-0.97
1200,40,25,65,2.0,atr_2x,3,0.5,294,183,111,44.6,42.1,48.6,-93.05,95.55,-0.97
500,35,25,70,1.5,atr_2x,3,0.5,249,187,62,35.7,33.7,41.9,-93.08,94.86,-0.98
500,45,25,70,1.5,atr_2x,3,0.5,329,267,62,37.1,36.0,41.9,-93.1,93.99,-0.99
