macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
1200,45,20,65,1.5,atr_3x,3,0.5,287,122,165,30.0,29.5,30.3,-99.33,99.45,-1.0
800,35,20,70,2.0,atr_3x,3,0.7,167,83,84,35.9,37.3,34.5,-99.34,99.91,-0.99
800,45,25,70,2.0,atr_3x,3,0.5,260,176,84,36.5,37.5,34.5,-99.34,99.58,-1.0
800,35,20,70,1.5,atr_2x,3,0.7,193,94,99,33.2,37.2,29.3,-99.35,99.5,-1.0
1200,45,25,65,2.0,atr_2x,3,0.5,313,166,147,43.1,42.2,44.2,-99.35,99.46,-1.0
800,45,20,70,1.5,atr_3x,3,0.5,231,132,99,27.7,28.8,26.3,-99.36,99.42,-1.0
1200,40,25,70,1.5,atr_3x,3,0.5,281,167,114,29.2,29.3,28.9,-99.38,99.44,-1.0
500,35,20,65,1.5,atr_3x,3,0.7,217,96,121,30.9,30.2,31.4,-99.39,99.7,-1.0
800,45,25,65,2.0,atr_3x,3,0.5,302,176,126,37.1,37.5,36.5,-99.41,99.6,-1.0
500,35,25,70,2.0,atr_2x,3,0.7,214,148,66,42.5,43.2,40.9,-99.41,99.87,-1.0
1200,45,25,70,2.0,atr_3x,3,0.5,264,165,99,37.1,36.4,38.4,-99.42,99.55,-1.0
1200,35,20,70,2.0,atr_3x,3,0.7,175,76,99,37.1,35.5,38.4,-99.43,99.91,-1.0
500,40,20,70,1.5,atr_2x,3,0.7,202,126,76,34.7,37.3,30.3,-99.43,99.55,-1.0
1200,45,25,65,1.5,atr_2x,3,0.5,350,183,167,35.1,35.0,35.3,-99.45,99.52,-1.0
800,40,25,70,1.5,atr_3x,3,0.5,279,180,99,28.3,29.4,26.3,-99.47,99.52,-1.0
800,45,20,65,1.5,atr_2x,3,0.5,285,136,149,33.3,34.6,32.2,-99.47,99.56,-1.0
800,35,20,65,2.0,atr_3x,3,0.7,209,83,126,36.8,37.3,36.5,-99.48,99.92,-1.0
1200,35,20,65,2.0,atr_2x,3,0.7,224,77,147,43.8,42.9,44.2,-99.49,99.8,-1.0
500,40,20,65,2.0,atr_2x,3,0.7,220,112,108,43.6,43.8,43.5,-99.49,99.66,-1.0
500,45,20,65,2.0,atr_3x,3,0.7,228,124,104,39.0,37.9,40.4,-99.49,99.75,-1.0
800,45,25,65,2.0,atr_2x,3,0.5,308,178,130,41.9,42.7,40.8,-99.5,99.58,-1.0
1200,40,25,65,2.0,atr_3x,3,0.5,295,152,143,37.3,36.2,38.5,-99.51,99.67,-1.0
500,45,25,65,1.5,atr_3x,3,0.5,323,203,120,30.0,29.1,31.7,-99.51,99.6,-1.0
500,45,20,70,2.0,atr_3x,3,0.7,190,124,66,37.9,37.9,37.9,-99.52,99.82,-1.0
800,45,20,65,1.5,atr_3x,3,0.5,279,132,147,28.7,28.8,28.6,-99.52,99.61,-1.0
500,45,25,70,1.5,atr_3x,3,0.5,279,203,76,28.7,29.1,27.6,-99.53,99.57,-1.0
800,45,25,70,1.5,atr_2x,3,0.5,296,197,99,32.8,34.5,29.3,-99.54,99.57,-1.0
800,40,25,65,1.5,atr_2x,3,0.5,329,180,149,33.7,35.0,32.2,-99.54,99.6,-1.0
1200,40,25,65,1.5,atr_3x,3,0.5,331,167,164,29.9,29.3,30.5,-99.57,99.64,-1.0
800,40,25,65,1.5,atr_3x,3,0.5,326,180,146,29.1,29.4,28.8,-99.58,99.65,-1.0
1200,35,20,70,1.5,atr_3x,3,0.7,198,84,114,29.3,29.8,28.9,-99.58,99.74,-1.0
1200,35,25,70,1.5,atr_2x,3,0.7,258,144,114,35.3,36.8,33.3,-99.58,99.62,-1.0
500,35,25,70,1.5,atr_2x,3,0.7,238,162,76,34.5,36.4,30.3,-99.59,99.62,-1.0
1200,45,25,65,2.0,atr_3x,3,0.5,308,165,143,37.3,36.4,38.5,-99.59,99.73,-1.0
500,40,20,65,1.5,atr_2x,3,0.7,249,126,123,36.1,37.3,35.0,-99.59,99.68,-1.0
800,35,20,65,2.0,atr_2x,3,0.7,214,84,130,42.1,44.0,40.8,-99.59,99.83,-1.0
500,45,20,70,2.0,atr_2x,3,0.7,191,125,66,42.9,44.0,40.9,-99.6,99.76,-1.0
1200,45,25,70,1.5,atr_3x,3,0.5,294,180,114,28.9,28.9,28.9,-99.61,99.65,-1.0
500,35,25,65,2.0,atr_2x,3,0.7,256,148,108,43.4,43.2,43.5,-99.62,99.86,-1.0
800,35,25,70,2.0,atr_2x,3,0.7,225,141,84,41.3,43.3,38.1,-99.66,99.87,-1.0
1200,35,25,70,2.0,atr_2x,3,0.7,231,132,99,42.9,42.4,43.4,-99.66,99.84,-1.0
500,40,20,70,1.5,atr_3x,3,0.7,202,126,76,29.7,31.0,27.6,-99.67,99.76,-1.0
