rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
30,2.0,bb_mid,5,0.1,True,24,8.0,75.0,0.59,1.81,0.33,1h
30,2.0,atr_2x,3,0.3,True,24,8.0,54.2,0.57,7.08,0.08,1h
30,1.0,atr_3x,5,0.2,True,26,8.7,26.9,0.57,8.83,0.06,1h
30,2.0,atr_2x,7,0.2,True,24,8.0,54.2,0.56,10.87,0.05,1h
30,1.0,atr_3x,7,0.2,True,26,8.7,26.9,0.55,12.26,0.05,1h
30,1.0,atr_3x,3,0.3,True,26,8.7,26.9,0.55,7.97,0.07,1h
30,1.0,atr_3x,5,0.3,True,26,8.7,26.9,0.53,13.11,0.04,1h
30,2.0,atr_2x,5,0.3,True,24,8.0,54.2,0.53,11.62,0.05,1h
30,2.0,atr_2x,7,0.1,True,24,8.0,54.2,0.51,5.54,0.09,1h
30,1.0,atr_3x,7,0.1,True,26,8.7,26.9,0.49,6.22,0.08,1h
30,2.0,atr_2x,3,0.2,True,24,8.0,54.2,0.46,4.76,0.1,1h
30,1.5,atr_2x,3,0.1,True,24,8.0,45.8,0.45,2.2,0.2,1h
30,1.0,atr_3x,3,0.2,True,26,8.7,26.9,0.45,5.34,0.08,1h
30,2.0,atr_2x,5,0.1,True,24,8.0,54.2,0.41,3.98,0.1,1h
30,1.0,atr_3x,5,0.1,True,26,8.7,26.9,0.4,4.46,0.09,1h
30,2.0,bb_mid,3,0.1,True,24,8.0,75.0,0.36,1.09,0.33,1h
30,2.0,atr_3x,3,0.2,True,24,8.0,41.7,0.31,7.11,0.04,1h
30,2.0,atr_3x,7,0.1,True,24,8.0,41.7,0.31,8.26,0.04,1h
30,2.0,atr_3x,5,0.1,True,24,8.0,41.7,0.29,5.95,0.05,1h
30,2.0,atr_3x,3,0.3,True,24,8.0,41.7,0.28,10.52,0.03,1h
30,2.0,atr_2x,3,0.1,True,24,8.0,54.2,0.27,2.4,0.11,1h
30,1.0,atr_3x,3,0.1,True,26,8.7,26.9,0.26,2.69,0.1,1h
30,2.0,atr_3x,5,0.2,True,24,8.0,41.7,0.24,11.64,0.02,1h
30,2.0,atr_3x,3,0.1,True,24,8.0,41.7,0.22,3.6,0.06,1h
30,1.0,atr_3x,7,0.3,True,26,8.7,26.9,0.2,18.11,0.01,1h
30,2.0,atr_2x,7,0.3,True,24,8.0,54.2,0.14,16.0,0.01,1h
45,1.0,atr_3x,7,0.2,True,180,60.0,27.8,0.1,27.43,0.0,1h
30,2.0,atr_3x,7,0.2,True,24,8.0,41.7,-0.05,16.0,-0.0,1h
