retrace_min,retrace_max,tp_ext,sl_buf,leverage,pos_ratio,signal_type,trades,win_rate,return_pct,max_drawdown,calmar,final_balance,swing_window,coin,timeframe,n_bos,n_zones
0.382,0.618,1.618,0.005,5,0.2,fvg_only,45,13.3,45.73,15.59,2.93,1457.28,5,eth,4H,145,288
0.382,0.618,2.0,0.005,3,0.1,fvg_only,43,11.6,16.69,5.69,2.93,1166.93,8,eth,4H,93,229
0.382,0.786,1.272,0.005,3,0.1,fvg_only,47,17.0,21.72,7.42,2.93,1217.2,8,eth,4H,93,229
0.382,0.786,1.272,0.002,3,0.1,fvg_only,46,15.2,15.64,5.38,2.9,1156.36,3,eth,4H,206,341
0.382,0.786,2.0,0.002,3,0.2,fvg_only,44,9.1,35.12,12.12,2.9,1351.19,8,eth,4H,93,229
0.382,0.786,2.0,0.002,5,0.1,fvg_only,44,9.1,29.52,10.2,2.9,1295.2,8,eth,4H,93,229
0.382,0.786,2.0,0.002,5,0.2,fvg_only,44,9.1,56.26,19.41,2.9,1562.63,8,eth,4H,93,229
0.382,0.786,2.0,0.002,7,0.1,fvg_only,44,9.1,40.6,14.0,2.9,1406.0,8,eth,4H,93,229
0.382,0.618,2.0,0.005,5,0.1,fvg_only,43,11.6,27.08,9.35,2.9,1270.84,8,eth,4H,93,229
0.382,0.618,1.618,0.002,5,0.2,ob_only,78,28.2,71.39,24.65,2.9,1713.95,5,eth,4H,145,288
0.382,0.786,1.618,0.005,7,0.1,fvg_only,45,13.3,47.77,16.5,2.89,1477.71,8,eth,4H,93,229
0.382,0.786,2.0,0.002,3,0.1,fvg_only,44,9.1,17.99,6.24,2.88,1179.92,8,eth,4H,93,229
0.382,0.618,1.618,0.005,7,0.2,fvg_only,45,13.3,60.88,21.17,2.88,1608.84,5,eth,4H,145,288
0.382,0.618,2.0,0.005,3,0.2,fvg_only,43,11.6,32.03,11.15,2.87,1320.34,8,eth,4H,93,229
0.382,0.786,2.0,0.002,7,0.2,fvg_only,44,9.1,75.13,26.14,2.87,1751.32,8,eth,4H,93,229
0.5,0.786,2.0,0.005,3,0.1,both,86,18.6,21.5,7.52,2.86,1215.01,5,eth,4H,145,288
0.382,0.786,1.618,0.005,3,0.2,fvg_only,45,13.3,40.87,14.31,2.86,1408.74,8,eth,4H,93,229
0.382,0.618,2.0,0.005,7,0.2,ob_only,106,21.7,126.31,44.1,2.86,2263.05,3,eth,4H,206,341
0.382,0.618,2.0,0.005,7,0.1,fvg_only,43,11.6,36.81,12.92,2.85,1368.11,8,eth,4H,93,229
0.382,0.786,1.618,0.005,5,0.1,fvg_only,45,13.3,33.98,12.07,2.81,1339.78,8,eth,4H,93,229
0.5,0.786,2.0,0.005,5,0.1,both,86,18.6,34.46,12.36,2.79,1344.59,5,eth,4H,145,288
0.382,0.618,2.0,0.005,5,0.2,fvg_only,43,11.6,50.05,18.07,2.77,1500.5,8,eth,4H,93,229
0.5,0.786,2.0,0.005,3,0.2,both,86,18.6,40.39,14.72,2.74,1403.86,5,eth,4H,145,288
0.382,0.786,1.618,0.005,3,0.1,fvg_only,45,13.3,20.25,7.42,2.73,1202.45,8,eth,4H,93,229
0.5,0.786,2.0,0.005,7,0.1,both,86,18.6,45.89,17.05,2.69,1458.94,5,eth,4H,145,288
0.382,0.618,1.618,0.002,7,0.2,ob_only,78,28.2,90.8,34.34,2.64,1908.05,5,eth,4H,145,288
0.382,0.618,2.0,0.005,7,0.2,fvg_only,43,11.6,64.99,24.6,2.64,1649.94,8,eth,4H,93,229
0.382,0.618,2.0,0.002,3,0.1,both,132,16.7,28.68,10.89,2.63,1286.82,3,eth,4H,206,341
0.382,0.618,1.272,0.002,3,0.1,fvg_only,45,11.1,10.73,4.08,2.63,1107.26,5,eth,4H,145,288
0.382,0.618,1.272,0.002,5,0.1,fvg_only,45,11.1,17.55,6.72,2.61,1175.52,5,eth,4H,145,288
0.382,0.618,1.272,0.002,3,0.2,fvg_only,45,11.1,20.86,8.01,2.6,1208.58,5,eth,4H,145,288
0.382,0.618,1.272,0.002,7,0.1,fvg_only,45,11.1,24.09,9.28,2.6,1240.91,5,eth,4H,145,288
0.382,0.786,1.272,0.002,3,0.1,fvg_only,46,10.9,10.52,4.07,2.59,1105.21,5,eth,4H,145,288
0.382,0.618,2.0,0.002,5,0.1,both,132,16.7,46.41,18.03,2.57,1464.14,3,eth,4H,206,341
0.382,0.618,1.272,0.002,5,0.2,fvg_only,45,11.1,33.32,13.01,2.56,1333.21,5,eth,4H,145,288
0.382,0.786,1.272,0.002,5,0.1,fvg_only,46,10.9,17.19,6.76,2.54,1171.89,5,eth,4H,145,288
0.382,0.618,2.0,0.002,3,0.2,both,132,16.7,54.57,21.53,2.53,1545.68,3,eth,4H,206,341
0.382,0.786,1.272,0.002,3,0.2,fvg_only,46,10.9,20.41,8.09,2.52,1204.1,5,eth,4H,145,288
0.382,0.786,2.0,0.002,3,0.1,both,68,20.6,22.82,9.06,2.52,1228.19,8,eth,4H,93,229
0.382,0.786,2.0,0.002,5,0.1,both,68,20.6,37.13,14.81,2.51,1371.26,8,eth,4H,93,229
0.382,0.618,1.272,0.002,7,0.2,fvg_only,45,11.1,44.47,17.8,2.5,1444.66,5,eth,4H,145,288
0.5,0.786,2.0,0.005,5,0.2,both,86,18.6,59.59,23.86,2.5,1595.93,5,eth,4H,145,288
0.382,0.786,1.272,0.002,7,0.1,fvg_only,46,10.9,23.55,9.42,2.5,1235.54,5,eth,4H,145,288
0.5,0.786,1.618,0.002,3,0.1,fvg_only,27,7.4,13.92,5.58,2.49,1139.16,8,eth,4H,93,229
0.382,0.618,2.0,0.002,7,0.1,both,132,16.7,62.13,24.98,2.49,1621.32,3,eth,4H,206,341
0.382,0.618,1.618,0.002,3,0.1,both,98,23.5,20.39,8.19,2.49,1203.94,5,eth,4H,145,288
0.5,0.786,1.618,0.002,3,0.2,fvg_only,27,7.4,27.05,10.88,2.49,1270.54,8,eth,4H,93,229
0.5,0.786,1.618,0.002,5,0.1,fvg_only,27,7.4,22.77,9.15,2.49,1227.67,8,eth,4H,93,229
0.382,0.786,2.0,0.002,3,0.2,both,68,20.6,43.87,17.59,2.49,1438.65,8,eth,4H,93,229
0.5,0.786,1.618,0.002,7,0.1,fvg_only,27,7.4,31.24,12.58,2.48,1312.43,8,eth,4H,93,229
0.5,0.786,1.618,0.002,5,0.2,fvg_only,27,7.4,43.2,17.52,2.47,1432.03,8,eth,4H,93,229
0.382,0.786,2.0,0.002,7,0.1,both,68,20.6,50.27,20.32,2.47,1502.71,8,eth,4H,93,229
0.5,0.786,2.0,0.002,3,0.1,fvg_only,27,7.4,12.39,5.04,2.46,1123.86,3,eth,4H,206,341
0.382,0.618,1.618,0.002,5,0.1,both,98,23.5,32.97,13.42,2.46,1329.73,5,eth,4H,145,288
0.382,0.786,1.272,0.002,5,0.2,fvg_only,46,10.9,32.5,13.36,2.43,1324.96,5,eth,4H,145,288
0.5,0.786,1.618,0.002,7,0.2,fvg_only,27,7.4,57.65,23.69,2.43,1576.5,8,eth,4H,93,229
0.382,0.618,1.618,0.002,3,0.2,both,98,23.5,38.81,15.97,2.43,1388.15,5,eth,4H,145,288
0.382,0.786,1.618,0.002,3,0.1,fvg_only,46,8.7,12.67,5.28,2.4,1126.7,5,eth,4H,145,288
0.382,0.618,1.618,0.002,7,0.1,both,98,23.5,44.3,18.46,2.4,1443.0,5,eth,4H,145,288
0.382,0.618,1.618,0.002,3,0.1,ob_only,111,22.5,21.76,9.07,2.4,1217.64,3,eth,4H,206,341
0.5,0.786,2.0,0.002,5,0.1,fvg_only,27,7.4,19.73,8.27,2.39,1197.33,3,eth,4H,206,341
0.382,0.786,2.0,0.002,5,0.2,both,68,20.6,67.1,28.15,2.38,1670.97,8,eth,4H,93,229
0.382,0.786,1.618,0.002,5,0.1,fvg_only,46,8.7,20.56,8.66,2.38,1205.62,5,eth,4H,145,288
0.382,0.618,1.618,0.002,3,0.1,fvg_only,45,8.9,12.88,5.42,2.37,1128.8,5,eth,4H,145,288
0.382,0.618,1.618,0.002,5,0.1,ob_only,111,22.5,35.05,14.78,2.37,1350.48,3,eth,4H,206,341
0.382,0.618,1.618,0.002,5,0.1,fvg_only,45,8.9,20.94,8.88,2.36,1209.36,5,eth,4H,145,288
0.382,0.786,1.618,0.002,3,0.2,fvg_only,46,8.7,24.33,10.3,2.36,1243.33,5,eth,4H,145,288
0.382,0.786,1.618,0.002,7,0.1,both,74,23.0,50.03,21.24,2.36,1500.27,8,eth,4H,93,229
0.382,0.618,1.618,0.002,3,0.2,fvg_only,45,8.9,24.8,10.57,2.35,1247.95,5,eth,4H,145,288
0.382,0.786,1.618,0.002,3,0.2,both,74,23.0,43.38,18.46,2.35,1433.76,8,eth,4H,93,229
0.382,0.786,1.618,0.002,7,0.1,fvg_only,46,8.7,27.98,11.92,2.35,1279.82,5,eth,4H,145,288
0.382,0.618,1.618,0.002,3,0.2,ob_only,111,22.5,41.15,17.54,2.35,1411.53,3,eth,4H,206,341
