rsi_thresh,vol_mult,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,win_rate,return_pct,max_drawdown,calmar,timeframe
25,1.5,1.0,atr_2x,3,0.3,True,6,33.3,1.37,1.08,1.26,1h
25,2.0,1.0,atr_2x,3,0.3,True,6,33.3,1.37,1.08,1.26,1h
25,1.2,1.0,atr_2x,3,0.3,True,6,33.3,1.37,1.08,1.26,1h
25,2.0,1.0,bb_mid,5,0.1,True,6,33.3,1.34,0.6,2.23,1h
25,1.2,1.0,bb_mid,5,0.1,True,6,33.3,1.34,0.6,2.23,1h
25,1.5,1.0,bb_mid,5,0.1,True,6,33.3,1.34,0.6,2.23,1h
25,2.0,2.0,bb_mid,3,0.2,True,6,50.0,1.33,1.32,1.0,1h
25,1.5,2.0,bb_mid,3,0.2,True,6,50.0,1.33,1.32,1.0,1h
25,1.2,2.0,bb_mid,3,0.2,True,6,50.0,1.33,1.32,1.0,1h
25,1.2,1.5,atr_3x,5,0.1,True,6,33.3,1.3,0.85,1.52,1h
25,2.0,1.5,atr_3x,5,0.1,True,6,33.3,1.3,0.85,1.52,1h
25,1.5,1.5,atr_3x,5,0.1,True,6,33.3,1.3,0.85,1.52,1h
25,1.5,1.5,bb_mid,7,0.1,True,6,33.3,1.23,1.19,1.03,1h
25,1.2,1.5,bb_mid,7,0.1,True,6,33.3,1.23,1.19,1.03,1h
25,2.0,1.5,bb_mid,7,0.1,True,6,33.3,1.23,1.19,1.03,1h
25,1.2,1.5,atr_2x,7,0.3,True,6,33.3,1.14,3.56,0.32,1h
25,2.0,1.5,atr_2x,7,0.3,True,6,33.3,1.14,3.56,0.32,1h
25,1.5,1.5,atr_2x,7,0.3,True,6,33.3,1.14,3.56,0.32,1h
25,1.2,2.0,bb_mid,5,0.1,True,6,50.0,1.11,1.1,1.0,1h
25,1.5,2.0,bb_mid,5,0.1,True,6,50.0,1.11,1.1,1.0,1h
25,2.0,2.0,bb_mid,5,0.1,True,6,50.0,1.11,1.1,1.0,1h
25,1.2,1.0,atr_2x,7,0.1,True,6,33.3,1.07,0.84,1.27,1h
25,2.0,1.0,atr_2x,7,0.1,True,6,33.3,1.07,0.84,1.27,1h
25,1.5,1.0,atr_2x,7,0.1,True,6,33.3,1.07,0.84,1.27,1h
25,1.5,1.0,atr_3x,3,0.1,True,6,33.3,1.06,0.36,2.92,1h
25,1.2,1.0,atr_3x,3,0.1,True,6,33.3,1.06,0.36,2.92,1h
25,2.0,1.0,atr_3x,3,0.1,True,6,33.3,1.06,0.36,2.92,1h
25,1.5,1.5,bb_mid,3,0.2,True,6,33.3,1.06,1.02,1.03,1h
25,2.0,1.5,bb_mid,3,0.2,True,6,33.3,1.06,1.02,1.03,1h
25,1.2,1.5,bb_mid,3,0.2,True,6,33.3,1.06,1.02,1.03,1h
25,1.2,2.0,atr_2x,5,0.2,True,6,50.0,1.05,2.2,0.48,1h
25,1.5,2.0,atr_2x,5,0.2,True,6,50.0,1.05,2.2,0.48,1h
25,2.0,2.0,atr_2x,5,0.2,True,6,50.0,1.05,2.2,0.48,1h
25,2.0,2.0,atr_3x,3,0.1,True,6,50.0,1.02,0.66,1.54,1h
25,1.5,2.0,atr_3x,3,0.1,True,6,50.0,1.02,0.66,1.54,1h
25,1.2,2.0,atr_3x,3,0.1,True,6,50.0,1.02,0.66,1.54,1h
35,2.0,1.0,atr_2x,3,0.1,True,65,36.9,1.01,2.27,0.44,1h
35,2.0,1.5,atr_3x,3,0.1,True,64,32.8,1.0,3.91,0.26,1h
25,1.2,2.0,atr_2x,3,0.3,True,6,50.0,0.95,1.98,0.48,1h
25,1.5,2.0,atr_2x,3,0.3,True,6,50.0,0.95,1.98,0.48,1h
25,2.0,2.0,atr_2x,3,0.3,True,6,50.0,0.95,1.98,0.48,1h
25,1.5,1.0,atr_2x,3,0.2,True,6,33.3,0.92,0.72,1.27,1h
25,1.2,1.0,atr_2x,3,0.2,True,6,33.3,0.92,0.72,1.27,1h
25,2.0,1.0,atr_2x,3,0.2,True,6,33.3,0.92,0.72,1.27,1h
25,1.2,1.5,bb_mid,5,0.1,True,6,33.3,0.88,0.85,1.04,1h
25,2.0,1.5,bb_mid,5,0.1,True,6,33.3,0.88,0.85,1.04,1h
25,1.5,1.5,bb_mid,5,0.1,True,6,33.3,0.88,0.85,1.04,1h
25,1.5,1.5,atr_2x,5,0.3,True,6,33.3,0.86,2.55,0.34,1h
25,1.2,1.5,atr_2x,5,0.3,True,6,33.3,0.86,2.55,0.34,1h
25,2.0,1.5,atr_2x,5,0.3,True,6,33.3,0.86,2.55,0.34,1h
25,2.0,1.5,atr_2x,7,0.2,True,6,33.3,0.81,2.38,0.34,1h
25,2.0,1.0,bb_mid,3,0.1,True,6,33.3,0.81,0.36,2.24,1h
25,1.5,1.5,atr_2x,7,0.2,True,6,33.3,0.81,2.38,0.34,1h
25,1.2,1.0,bb_mid,3,0.1,True,6,33.3,0.81,0.36,2.24,1h
25,1.5,1.0,bb_mid,3,0.1,True,6,33.3,0.81,0.36,2.24,1h
25,1.2,1.5,atr_2x,7,0.2,True,6,33.3,0.81,2.38,0.34,1h
25,1.2,1.5,atr_3x,3,0.1,True,6,33.3,0.78,0.51,1.53,1h
25,1.5,1.5,atr_3x,3,0.1,True,6,33.3,0.78,0.51,1.53,1h
25,2.0,1.5,atr_3x,3,0.1,True,6,33.3,0.78,0.51,1.53,1h
25,2.0,1.0,atr_2x,5,0.1,True,6,33.3,0.77,0.6,1.27,1h
25,1.5,1.0,atr_2x,5,0.1,True,6,33.3,0.77,0.6,1.27,1h
25,1.2,1.0,atr_2x,5,0.1,True,6,33.3,0.77,0.6,1.27,1h
